namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Inenek,Iry-Hor,,,,,,,,,,,,,Thonis,,,,,,,,,,,,Nebethetepet,,Amenhotep I,,,,,Khesfu,Sobek's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isetemkheb,Iuseneb,,,,,,,,,,,,,Heliopolis,,,,,,,,,,,,Hu,,Aati,,,,,Besna,Isis's Arrow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isetnofret,Joba,,,,,,,,,,,,,Per-Amun,,,,,,,,,,,,Anat,,Fa,,,,,Peteese,Anubis's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Joba,Ka,,,,,,,,,,,,,Naucratis,,,,,,,,,,,,An-mut-f,,Wenenu,,,,,Kebehut,Selkis's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kanzuie,Kanefer,,,,,,,,,,,,,Dendera,,,,,,,,,,,,Shezmu,,Ishtar,,,,,Amenhotep I,Fury of Sekhmet,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khamerernebty,Khabawsokar,,,,,,,,,,,,,Nekheb,,,,,,,,,,,,Nebt-Khu,,Seta-Ta,,,,,Nebt-Shat,Osiris's Fury,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khedebneithirbinet,Khaemwaset,,,,,,,,,,,,,Sumenu,,,,,,,,,,,,Tenenet,,Ta-Bitjet,,,,,Shenty,Neith's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khenemetibamun,Khaemweset,,,,,,,,,,,,,Timinhor,,,,,,,,,,,,Ipy,,Sebeg,,,,,Ash,Osiris's Spear,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khenemetneferhedjet,Khasekhemwy,,,,,,,,,,,,,Alexandria,,,,,,,,,,,,Dedun,,Tjenmyt,,,,,Sah,Aten's Vigil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khenthap,Khensu,,,,,,,,,,,,,Ptkheka,,,,,,,,,,,,Sed,,Asclepius,,,,,Khenti-qerer,Anhur's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khufuankh,Kheperkare,,,,,,,,,,,,,Madu,,,,,,,,,,,,Shentayet,,Amenhotep,,,,,Imhotep,Fury of Sobek,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kiya,Khepri,,,,,,,,,,,,,Thebes,,,,,,,,,,,,Tjenmyt,,Shentayet,,,,,Raet-Tawy,Sekhmet's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Maat-hor,Khueninpu,,,,,,,,,,,,,Djedu,,,,,,,,,,,,Iabet,,Taweret,,,,,Sefkhet-Abwy,Rite of Sobek,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Maathorneferure,Khufukhaf,,,,,,,,,,,,,Per-Bast,,,,,,,,,,,,Astarte,,Nebt-Shefshefet,,,,,Hedetet,Set's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mayet,Koshari,,,,,,,,,,,,,Khemenu,,,,,,,,,,,,Heka,,Meretseger,,,,,Babi,Osiris's Gaze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mayetenaten,Menkaure,,,,,,,,,,,,,Semabehdet,,,,,,,,,,,,Amenhotep,,Hert-sefu-s,,,,,Mafdet,Menhit's Claw,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meketaten,Menkheperre,,,,,,,,,,,,,Per-Sopdu,,,,,,,,,,,,Mehet-Weret,,Arensnuphis,,,,,Mnevis,Bastet's Mane,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Menmet,Mentuherkhepeshef,,,,,,,,,,,,,Buhen,,,,,,,,,,,,Hapy-Wet,,Ptah-hotep,,,,,Neferhotep,Selkis's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meresamun,Mentuhotep,,,,,,,,,,,,,Qis,,,,,,,,,,,,Raet-Tawy,,Denwen,,,,,Nehmetawy,Anubis's Arrow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meres-nip,Meriiti,,,,,,,,,,,,,Per-Medjed,,,,,,,,,,,,Hert-sefu-s,,Khesfu,,,,,Sopdet,Selkis's Star,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meret-isesi,Merneptah,,,,,,,,,,,,,Hermonthis,,,,,,,,,,,,Andjety,,Sah,,,,,Hu,Horus's Khopesh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meretseger,Merysekhmet,,,,,,,,,,,,,Tepihu,,,,,,,,,,,,Seta-Ta,,Matit,,,,,Werethekau,Set's Shield,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Merit,Mesen-ka,,,,,,,,,,,,,Tanis,,,,,,,,,,,,Denwen,,Heka,,,,,Dua,Sekhmet's Arrow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meritamen,Metjen,,,,,,,,,,,,,Asyut,,,,,,,,,,,,Heptet,,Tutu,,,,,Sesenet-Khu,Montu's Vigil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meritamun,Mina,,,,,,,,,,,,,Taremu,,,,,,,,,,,,Ishtar,,Astarte,,,,,Ba-Ra,Neith's Khopesh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meritaten,Minmose,,,,,,,,,,,,,Saka,,,,,,,,,,,,Meskhenet,,Henkhisesui,,,,,Heryshaf,Montu's Gaze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meritptah,Nakht,,,,,,,,,,,,,Ta-senet,,,,,,,,,,,,Thermuthis,,Iusaaset,,,,,Hert-sefu-s,Neith's Fury,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Merneith,Nakhtmut,,,,,,,,,,,,,Tjebu,,,,,,,,,,,,Rekhit,,Pesi,,,,,Seret,Fury of Neith,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Meryt,Nakhtre,,,,,,,,,,,,,Seshesh,,,,,,,,,,,,Nefertum,,Yam,,,,,Hert-Nemmat-Set,Ra's Chariot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Merytkhet,Narmer,,,,,,,,,,,,,Henen-nesut,,,,,,,,,,,,Henkhisesui,,Harsomtus,,,,,Shentayet,Ra's Fury,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Merytmihapi,Nebemakhet,,,,,,,,,,,,,Hermopolis Parva,,,,,,,,,,,,Ash,,Shenty,,,,,Astennu,Aten's Khopesh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Merytnetjer,Nebmaatre,,,,,,,,,,,,,Menouthis,,,,,,,,,,,,Nakith,,Female,,,,,Ammit,Osiris's Chariot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Merytre,Nefer,,,,,,,,,,,,,Tjaru,,,,,,,,,,,,Khenti-Amenti,,Shemat-Khu,,,,,Sekhemus,Horus's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mutemwiya,Neferhotep,,,,,,,,,,,,,Athribis,,,,,,,,,,,,Ba'alat Gebal,,Hetepes-Sekhus,,,,,Pesi,Set's Gaze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mutmetjennefer,Neferirkare,,,,,,,,,,,,,Tamiat,,,,,,,,,,,,Temet,,Sia,,,,,Sekhat-Hor,Amon-Ra's Khopesh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mut-tuya,Neferkasokar,,,,,,,,,,,,,Rosetta,,,,,,,,,,,,Amn,,Nehebu-Kau,,,,,Sepṭu,Isis's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nakhtmut,Nefermaat,,,,,,,,,,,,,,,,,,,,,,,,,Kebehut,,Apedemak,,,,,Thmei,Sekhmet's Spear,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nakhtneith,Nefer-setekh,,,,,,,,,,,,,,,,,,,,,,,,,Nehebu-Kau,,Qebui,,,,,Temet,Anubis's Shield,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebetah,Nefertem,,,,,,,,,,,,,,,,,,,,,,,,,Werethekau,,Ammit,,,,,Taweret,Amon-Ra's Arrow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebetananash,Neheb,,,,,,,,,,,,,,,,,,,,,,,,,Mehen,,Nefertum,,,,,Shesmetet,Rite of Ra,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebetimmunedjem,Nemtinakht,,,,,,,,,,,,,,,,,,,,,,,,,Fa,,Meret,,,,,Shed,Bastet's Roar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebetiunet,Nesubanebdjedet,,,,,,,,,,,,,,,,,,,,,,,,,Uneg/Weneg,,Temtith,,,,,Heru-pa-kaut,Ra's Khopesh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebetnehat,Netjeraperef,,,,,,,,,,,,,,,,,,,,,,,,,Kagemni,,Ken,,,,,Mestȧ,Rite of Sekhmet,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebettawy,Nikaure,,,,,,,,,,,,,,,,,,,,,,,,,Nebt-Shat,,Wepset,,,,,Iabet,Fury of Set,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nebty-tepites,Nisuheqet,,,,,,,,,,,,,,,,,,,,,,,,,Esna,,Nebt-Setau,,,,,Nebt-Shefshefet,Anubis's Spear,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nedjemmut,Pa-ankh-entef,,,,,,,,,,,,,,,,,,,,,,,,,Seret,,Heptet,,,,,Menhit,Aten's Shield,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferet,Pachomios,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter-Amun,,Anit,,,,,Esna,Isis's Star,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferhetepes,Pahemnetjer,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Neferhotep,,,,,Hery-sha-duat,Amon's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferneferuaten,Pakhom,,,,,,,,,,,,,,,,,,,,,,,,,Kneph,,Reshep,,,,,Banebdjedet,Horus's Vigil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferneferure,Pamiu,,,,,,,,,,,,,,,,,,,,,,,,,Heret-Kau,,Hedetet,,,,,Sait,Amon's Shield,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferthenut,Panehesy,,,,,,,,,,,,,,,,,,,,,,,,,Themath,,Heryshaf,,,,,Kherty,Rite of Amon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nefertiabet,Panhsj,,,,,,,,,,,,,,,,,,,,,,,,,Imhotep,,Imhotep,,,,,Tenenet,Anhur's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nefertkau,Paramesse,,,,,,,,,,,,,,,,,,,,,,,,,Shesmetet,,An-a-f,,,,,Pelican,Amon-Ra's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferu,Pareherwenemef,,,,,,,,,,,,,,,,,,,,,,,,,Peteese,,Meskhenet,,,,,Meskhenet,Fury of Isis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferuaten,Pasebakhaenniut,,,,,,,,,,,,,,,,,,,,,,,,,Wenenu,,Sehith,,,,,Astarte,Fury of Ra,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferubity,Pashhur,,,,,,,,,,,,,,,,,,,,,,,,,Sia,,Ihy,,,,,Wepwawet,Anhur's Chariot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Neferuptah,Pedubastis,,,,,,,,,,,,,,,,,,,,,,,,,Dua,,Khentekhtai,,,,,Ani,Pakhet's Bite,,,,,,,,,,,,,,,
