namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Zara,Paul,,,,Ali,,,Vancouver,Sitka,Tempe,Jacksonville,Surprise,Canyonlands,Montpelier,Islamorada,Grand Prairie,San Juan Capistrano,,Johnston,Taylor,Tyler,Michigan,,,,Dragonfly,Grant,Kidd,Johnson,Havoc,,,Pinckney,Hawaii,,,,Milley,,,,Galileo,Franklin,Netflix,MacArthur,Hayes,Lincoln,,
,,,,,,,,,,,,,,,,,,,,,,Shahrazad,Maurice,,,,Alvarez,,,Eugene,Kenai,Gilbert,Fort Worth,Peoria,Sequoia,Indianapolis,Miami Shores,Springfield,St. Croix,,Sheridan,Fillmore,Kennedy,Moosehead,,,, Belleau Wood,Milley,Freedom Fighter,Monroe,Kingfisher,,,Black Hawk,Idaho,,,,Abrams,,,,Oppenheimer,Pasteur,,Eichelberger,Jackson,Jackson,,
,,,,,,,,,,,,,,,,,,,,,,Dakota,Orlando,,,,Anderson,,,Bellevue,Soldotna,Surprise,Columbus,Yuma,Redwood,Columbia,Palmetto Bay,Topeka,San Juan Bautista,,Meade,Pierce,Pierce,,,,,Kidd,Sheridan,John Finn,Carter,Momsen,,,Thud,Illinois,,,,Nimitz,,,,Bohr,Galileo,,Patton,Kennedy,Nixon,,
,,,,,,,,,,,,,,,,,,,,,,Aditi,Kasa,,,,Aoki,,,Reno,North Pole,Peoria,San Francisco,La Quinta,Everglades,Providence,Virginia Key,Wichita Falls,San Pedro de Macoris,,Farragut,Buchanan,Jackson,,,,,Cole,Farragut,Sampson,Washington,Fury,,,Porter,Indiana,,,,Johnston,,,,Feynman,Maxwell,,Westmoreland,Washington,Carter,,
,,,,,,,,,,,,,,,,,,,,,,Kiana,Minal,,,,Badawi,,,Salem,Utqiagvik,Yuma,Charlotte,Cathedral City,Denali,Tallahassee,Pinecrest,Bismarck,Higuey,,Dewey,Lincoln,Arthur,,,,,Curtis Wilbur,Westmoreland,Littoral,Wilson,Guardian,,,Arleigh Burke,Iowa,,,,Arnold,,,,Sagan,Kepler,,Powell,Johnson,Hayes,,
,,,,,,,,,,,,,,,,,,,,,,Haruka,Tristan,,,,Baker,,,Pocatello,Valdez,Avondale,Indianapolis,Buckeye,Shenandoah,Lincoln,Key Biscayne,Cedar Rapids,San Fernando,,King,Johnson,Washington,,,,,Rafael Peralta,Mattis,Firefly,Eisenhower,Tomcat,,,Skyhawk,Kansas,,,,Spruance,,,,Curie,Hubble,,King,Fillmore,Wilson,,
,,,,,,,,,,,,,,,,,,,,,,Raelynn,Ken,,,,Banks,,,Billings,Seward,Goodyear,Seattle,Casa Grande,Big Bend,Cheyenne,Coral Gables,Waterloo,San Germán,,Spruance,Grant,Eisenhower,,,,,Harrier,Clark,Albatross,Buchanan,Stethem,,,Skyray,Kentucky,,,,Pershing,,,,Franklin,Watson,,McChrystal,Harding,Tyler,,
,,,,,,,,,,,,,,,,,,,,,,Inez,Imran,,,,Barajas,,,Ogden,Nikiski,Buckeye,Denver,Victorville,Glacier Bay,Jackson,Bal Harbour,Ames,Vega Baja,,Clark,Hayes,Hoover,,,,,Guardian,Odierno,Prowler,Lincoln,Lenah H. Sutcliffe Higbee,,,Lenah H. Sutcliffe Higbee,Louisiana,,,,Halsey,,,,Maxwell,Crick,,Schwarzkopf,Coolidge,Polk,,
,,,,,,,,,,,,,,,,,,,,,,Radhika,Yosef,,,,Barker,,,Missoula,College,Casa Grande,Washington,Lancaster,Haleakala,Anchorage,Surfside,Fargo,Mayagüez,,Eichelberger,Garfield,Monroe,,,,, Chattanooga,LeMay,William P. Lawrence,Ford,Starlifter,,,Rentz,Maine,,,,Dewey,,,,Edison,Sagan,,Halsey,Grant,Truman,,
,,,,,,,,,,,,,,,,,,,,,,Brianna,Aaron,,,,Barnes,,,Helena,Cordova,San Bernardino,Boston,Palmdale,Saguaro,Montgomery,Bay Harbor,Rochester,Carolina,,LeMay,Arthur,Reagan,,,,, Hue,King,Benfold,Roosevelt,Spartan,,,Mohawk,Maryland,,,,Westmoreland,,,,Darwin,Leakey,,Dewey,Monroe,Taylor,,
,,,,,,,,,,,,,,,,,,,,,,Cheyenne,Girish,,,,Begay,,,,,,,,,,,,,,Ridgway,Cleveland,Madison,,,,, Yorktown,Petraeus,Kitty Hawk,Hoover,Black Hawk,,,United States,Massachusetts,,,,LeMay,,,,,,,Johnston,Cleveland,Garfield,,
,,,,,,,,,,,,,,,,,,,,,,Jade,Samuel,,,,Bell,,,,,,,,,,,,,,Westmoreland,McKinley,Buchanan,,,,, Kobani,Sherman,Mahan,Madison,Apache,,,Antietam,Michigan,,,,Bradley,,,,,,,Clark,Polk,Adams,,
,,,,,,,,,,,,,,,,,,,,,,Rania,Rodrigo,,,,Bennett,,,,,,,,,,,,,,Abrams,Roosevelt,Van Buren,,,,,Gerald R. Ford,Schwarzkopf,Bearcat,Kennedy,Freedom Fighter,,,Cobra,Minnesota,,,,MacArthur,,,,,,,Meade,McKinley,Taft,,
,,,,,,,,,,,,,,,,,,,,,,Rosalinda,Cameron,,,,Bhatnagar,,,,,,,,,,,,,,Schwarzkopf,Taft,Hayes,,,,,Thunderbolt II,Patton,Lancaster,Adams,Warthog,,,Nitze,Mississippi,,,,Mattis,,,,,,,Odierno,Ford,Van Buren,,
,,,,,,,,,,,,,,,,,,,,,,Awentia,Pablo,,,,Black,,,,,,,,,,,,,,Powell,Wilson,McKinley,,,,,John Finn,MacArthur,Blackbird,Jefferson,Corsair,,,Ticonderoga,Missouri,,,,Eichelberger,,,,,,,Sherman,Harrison,Madison,,
,,,,,,,,,,,,,,,,,,,,,,Ruby,Ankur,,,,Blackbear,,,,,,,,,,,,,,Franks,Harding,Bush,,,,, Vicksburg,Franks,Hercules,Jackson,Dragonfly,,,McFaul,Montana,,,,Lee,,,,,,,Lee,Jefferson,Harding,,
,,,,,,,,,,,,,,,,,,,,,,Chanel,Oscar,,,,Bluebird,,,,,,,,,,,,,,McChrystal,Coolidge,Taft,,,,,Mitchell,Johnston,Paul F. Foster,Garfield,Super Sabre,,,Skywatch,Nebraska,,,,Petraeus,,,,,,,Farragut,Tyler,Roosevelt,,
,,,,,,,,,,,,,,,,,,,,,,Ebony,Hassan,,,,Brown,,,,,,,,,,,,,,Petraeus,Hoover,Truman,,,,,Fishbed,Meade,Corsair,Taylor,Fitzgerald,,,Chosin,Nevada,,,,Odierno,,,,,,,Ridgway,Carter,Buchanan,,
,,,,,,,,,,,,,,,,,,,,,,Stella,Edward,,,,Brownbear,,,,,,,,,,,,,,Odierno,Truman,Garfield,,,,, Fallujah,Dunford,Shrike,Nixon,Mahan,,,Bobcat,New Hampshire,,,,Clark,,,,,,,Bradley,Van Buren,Ford,,
,,,,,,,,,,,,,,,,,,,,,,Sunki,Basim,,,,Cabrera,,,,,,,,,,,,,,Mattis,Eisenhower,Coolidge,,,,,Halsey,Halsey,Gridley,Clinton,Arleigh Burke,,,Milius,New Jersey,,,,McChrystal,,,,,,,Milley,Roosevelt,McKinley,,
,,,,,,,,,,,,,,,,,,,,,,Mariam,Simon,,,,Caddo,,,,,,,,,,,,,,Dunford,Kennedy,Harding,,,,,Antietam,Eichelberger,Radford,Harding,Bainbridge,,,Nicholas,New Mexico,,,,Dunford,,,,,,,Pershing,Truman,Cleveland,,
,,,,,,,,,,,,,,,,,,,,,,Aria,Cesar,,,,Campbell,,,,,,,,,,,,,,Milley,Nixon,Johnson,,,,,Sampson,Nimitz,Spartan,Harrison,Dragon,,,Stockdale,New York,,,,Meade,,,,,,,Mattis,Taylor,Fillmore,,
,,,,,,,,,,,,,,,,,,,,,,Nisha,Ryan,,,,Carter,,,,,,,,,,,,,,,Ford,Roosevelt,,,,,Carney,,Boone,Cleveland,Wildcat,,,Starlifter,North Carolina,,,,,,,,,,,,Eisenhower,Coolidge,,
,,,,,,,,,,,,,,,,,,,,,,Victoria,Makaio,,,,Castillo,,,,,,,,,,,,,,,Carter,Grant,,,,,Vindicator,,Decatur,McKinley,Mustang,,,Stratofortress,North Dakota,,,,,,,,,,,,Nixon,Monroe,,
,,,,,,,,,,,,,,,,,,,,,,Sierra,Salvador,,,,Chakraborty,,,,,,,,,,,,,,,Reagan,Cleveland,,,,,Stockdale,,Ticonderoga,Reagan,Vicksburg,,,Constellation,Ohio,,,,,,,,,,,,Pierce,Kennedy,,
,,,,,,,,,,,,,,,,,,,,,,Carla,Avi,,,,Chee,,,,,,,,,,,,,,,Bush,Ford,,,,,Dewey,,Wildcat,Truman,Thunderbolt II,,,Albatross,Oklahoma,,,,,,,,,,,,Wilson,Grant,,
,,,,,,,,,,,,,,,,,,,,,,Kaori,Douglas,,,,Chen,,,,,,,,,,,,,,,Clinton,Harrison,,,,,Thud,,Milius,Taft,Dewey,,,Wadsworth,Oregon,,,,,,,,,,,,Adams,Eisenhower,,
,,,,,,,,,,,,,,,,,,,,,,Misaki,Atul,,,,Cheyenne,,,,,,,,,,,,,,,,,,,,,Skywatch,,Stratotanker,,Radford,,,Bearcat,Pennsylvania,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chie,Dennis,,,,Chippewa,,,,,,,,,,,,,,,,,,,,,Starfire,,Starfighter,,Lightning,,,Skyscreecher,Rhode Island,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mei,Dev,,,,Choi,,,,,,,,,,,,,,,,,,,,,O'Kane,,Stockdale,,Harrier,,,Bronco,South Carolina,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elena,Aponivi,,,,Clark,,,,,,,,,,,,,,,,,,,,,Thomas Hudner,,Marauder,,Spruance,,,Invader,South Dakota,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gracie,Edwin,,,,Cloud,,,,,,,,,,,,,,,,,,,,,Eagle,,McInerney,,Staggerwing,,,Raptor,Tennessee,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Penelope,Sergio,,,,Cochise,,,,,,,,,,,,,,,,,,,,,Havoc,,McFaul,,Savage,,,Skymaster,Texas,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amy,Jeffrey,,,,Cohen,,,,,,,,,,,,,,,,,,,,,Arleigh Burke,,Sabre,,William P. Lawrence,,,Fishbed,Utah,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kaylee,Askuwheteau,,,,Collins,,,,,,,,,,,,,,,,,,,,,Kitty Hawk,,United States,,John L. Hall,,,Halsey,Vermont,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isabelle,Chosovi,,,,Cooper,,,,,,,,,,,,,,,,,,,,,Wildcat,,Ingraham,,Kiowa,,,Raven,Virginia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Naomi,Ignacio,,,,Crowfoot,,,,,,,,,,,,,,,,,,,,,Blackbird,,Carney,,Skytrain,,,Staggerwing,Washington,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bailey,Avonaco,,,,Cruz,,,,,,,,,,,,,,,,,,,,,Leyte Gulf,,Bainbridge,,Reuben James,,,Fletcher,West Virginia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Madison,Antonio,,,,Das,,,,,,,,,,,,,,,,,,,,,Mustang,,Harrier,,Paul F. Foster,,,Vigilante,Wisconsin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sara,Mohan,,,,Davis,,,,,,,,,,,,,,,,,,,,,Higgins,,Dewey,,McInerney,,,Sampson,Wyoming,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Carmen,Javon,,,,Deer,,,,,,,,,,,,,,,,,,,,,Gary,,Charles F. Adams,,Dauntless,,,Curtis Wilbur,Guam,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Camila,DeAndre,,,,Deschene,,,,,,,,,,,,,,,,,,,,,Ingraham,,Pinckney,,Bobcat,,,Kingfisher,Puerto Rico,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Akanksha,Roger,,,,Diaz,,,,,,,,,,,,,,,,,,,,,Freedom,,Thunderbolt II,,Gary,,,Howard,Mariana,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Zainab,Atius,,,,Doe,,,,,,,,,,,,,,,,,,,,,Albatross,,Zumwalt,,Kitty Hawk,,,Stuka,Samoa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Leila,Raj,,,,Dullknife,,,,,,,,,,,,,,,,,,,,,Cougar,,Mosquito,,Nimitz,,,Scout,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kajal,Lenmana,,,,Eagle,,,,,,,,,,,,,,,,,,,,,Skyhawk,,Osprey,,Leahy,,,Gridley,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sia,Hector,,,,Edwards,,,,,,,,,,,,,,,,,,,,,Starlifter,,Independence,,Allen M. Sumner,,,Eagle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Abigail,Jarell,,,,El-Amin,,,,,,,,,,,,,,,,,,,,,Thach,,Viking,,Raven,,,Thomas Hudner,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rayan,Kishan,,,,Elk,,,,,,,,,,,,,,,,,,,,,Bobcat,,Mohawk,,United States,,,Gary,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Natalie,Devon,,,,Ellis,,,,,,,,,,,,,,,,,,,,,Dragon,,Nighthawk,,Skyscreecher,,,Leyte Gulf,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lillian,Aaryan,,,,Evans,,,,,,,,,,,,,,,,,,,,,Stockdale,,Spruance,,Fishbed,,,Zumwalt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alexis,Keokuk,,,,Farooqi,,,,,,,,,,,,,,,,,,,,,Panther,,Belknap,,Gerald R. Ford,,,Kidd,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ayanna,Chogan,,,,Fernandez,,,,,,,,,,,,,,,,,,,,,Decatur,,Staggerwing,,Benfold,,,Spruance,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Caroline,Charles,,,,Fisher,,,,,,,,,,,,,,,,,,,,, Mosul,,Arthur W. Radford,,Eagle,,,Shoup,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Eliana,Javier,,,,Fisher,,,,,,,,,,,,,,,,,,,,,Zumwalt,,California,,Tiger,,,Panther,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tallulah,Dheeraj,,,,Flores,,,,,,,,,,,,,,,,,,,,,Michael Murphy,,O'Kane,,Talon,,,Momsen,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Addison,Manuel,,,,Franklin,,,,,,,,,,,,,,,,,,,,,Cobra,,Peterson,,America,,,Vindicator,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Leah,Gonzalo,,,,Garcia,,,,,,,,,,,,,,,,,,,,,Samuel B. Roberts,,Rafael Peralta,,Kidd,,,Dragon,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Evelyn,Jose,,,,Gardner,,,,,,,,,,,,,,,,,,,,,Scout,,Caribou,,Osprey,,,America,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Estrella,Jamar,,,,Geronimo,,,,,,,,,,,,,,,,,,,,,Texan,,Skymaster,,Liberator,,,Skytrain,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Misu,Nicholas,,,,Ghani,,,,,,,,,,,,,,,,,,,,, Leyte Gulf,,Lightning,,Fletcher,,,Crusader,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Miriam,Leon,,,,Ghosh,,,,,,,,,,,,,,,,,,,,,Wild Goose,,Savage,,Wickes,,,Savage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tama,Anthony,,,,Gomez,,,,,,,,,,,,,,,,,,,,,Zumwalt,,Mahan,,Marauder,,,Intruder,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shireen,Thomas,,,,Gonzalez,,,,,,,,,,,,,,,,,,,,, Spotsylvania,,Intruder,,Starfire,,,Corsair,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ava,Leo,,,,Graham,,,,,,,,,,,,,,,,,,,,,Farragut,,Raven,,Gearing,,,Arleigh Burke,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lila,Eric,,,,Graywolf,,,,,,,,,,,,,,,,,,,,,America,,Fishbed,,Albatross,,,Harrier,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aziza,Kolby,,,,Green,,,,,,,,,,,,,,,,,,,,,Hercules,,Skyraider,,Leyte Gulf,,,Mustin,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amelia,Guillermo,,,,Guerrero,,,,,,,,,,,,,,,,,,,,,Spruance,,Tomcat,,Rafael Peralta,,,Decatur,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Diamond,Liam,,,,Gutierrez,,,,,,,,,,,,,,,,,,,,,Falcon,,Farragut,,Porter,,,Lassen,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samantha,Samir,,,,Haddad,,,,,,,,,,,,,,,,,,,,, Buena Vista,,Huey,,Phantom,,,Wayne E. Meyer,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Arianna,Aidan,,,,Hall,,,,,,,,,,,,,,,,,,,,, Chateau-Thierry,,Reuben James,,Enterprise,,,Preble,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ariel,Ben,,,,Hamilton,,,,,,,,,,,,,,,,,,,,,Corsair,,Shooting Star,,Stuka,,,Shrike,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chloe,Nilesh,,,,Harris,,,,,,,,,,,,,,,,,,,,,Momsen,,Guardian,,Curtis Wilbur,,,Black Widow,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Skylar,Anil,,,,Hernandez,,,,,,,,,,,,,,,,,,,,,Banshee,,Banshee,,Tucker,,,Hellcat,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Faith,Ernesto,,,,Hill,,,,,,,,,,,,,,,,,,,,,Mobile Bay,,Allen M. Sumner,,Arthur W. Radford,,,Kitty Hawk,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sequoia,Amol,,,,Holland,,,,,,,,,,,,,,,,,,,,,Mason,,Devastator,,Independence,,,Zumwalt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Emery,Dylan,,,,Hu,,,,,,,,,,,,,,,,,,,,,Viking,,Rascal,,Spruance,,,Phantom II,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aiyana,Jeff,,,,Huang,,,,,,,,,,,,,,,,,,,,,Lightning,,Thud,,Phantom II,,,Spruance,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Valentina,Daniel,,,,Hughes,,,,,,,,,,,,,,,,,,,,,Marauder,,Starfire,,Sentinel,,,Barry,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Olivia,Adarsh,,,,Hussein,,,,,,,,,,,,,,,,,,,,,Arleigh Burke,,Skytrain,,Mason,,,Mosquito,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Avery,Travis,,,,Ingram,,,,,,,,,,,,,,,,,,,,,Helldiver,,Wickes,,Arleigh Burke,,,Mahan,,,,,,,,,,,,,,,,
