namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Camilla,Cato,Junia,Antoninus Pius,Hadrian,Cornelius,,,Lugdunum,Birka,Gao,Pergamon,Tingis,Insulae Fortunatae,Cyrene,Neapolis,Oea,Axum,Birka,Audacia Minervae,Neptune,Ceres,,,,Hasta Bellonae,Audacia Minervae,Vis Quirini,Bacchus,Plautus,,Vox Concordiae,Marcellus,,,,,,,Plato,,Pluto's Pugio,Diana,,
,,,,,,,,,,,,,,,,,,,,,,Cassia,Celsus,Livia,Marcus Aurelius,Antoninus,Crassus,,,Mantua,Jomsborg,Theveste,Tarsus,Antinopolis,Insulae Mortui Beatique,Leptis Magna,Ephesus,Hippo Regius,Meroë,Jomsborg,Pugnus Vestae,Pluto,Cupid,,,,Scutum Bellonae,Pugnus Vestae,Tychon Currus,Vulcan,Iter,,Pavoris Sagitta,Maximus,,,,,,,Aristotle,,Mars's Storm,Tellus,,
,,,,,,,,,,,,,,,,,,,,,,Ceres,Cicero,Messalina,Commodus,Marcus Aurelius,Curius,,,Mediolanum,Vineta,Oea,Ephesus,Coptos,Auri Vellus,Tarsus,Byzantium,Tacape,Napata,Vineta,Virtus Iovis,Proserpina,Bacchus,,,,Furor Bellonae,Virtus Iovis,Vox Felicitatis,Ceres,Horace,,Quirini Audacia,Pompey,,,,,,,Euclid,,Might of Neptune,Mercury,,
,,,,,,,,,,,,,,,,,,,,,,Claudia,Claudius,Octavia,Septimius Severus,Commodus,Decius,,,Novaria,Ribe,Timgad,Massilia,Berenice Troglodytica,Porta Eburnea,Nicaea,Syracuse,Volubilis,Dongola,Ribe,Hasta Lunae,Saturn,Apollo,,,,Ira Bellonae,Hasta Lunae,Carrus Justitiae,Proserpina,Seneca,,Ignis Virtutis,Antony,,,,,,,Archimedes,,Vulcan's Rage,Vulcan,,
,,,,,,,,,,,,,,,,,,,,,,Cornelia,Cornelius,Poppaea,Caracalla,Septimius Severus,Domitius,,,Tridentum,Hedeby,Tingis,Aquileia,Kharga Oasis,Palatium Crystallinum,Byzantium,Caieta,Thamugadi,Sabae,Hedeby,Sagitta Apollinis,Sol,Sol,,,,Tenacitas Bellonae,Sagitta Apollinis,Scipio Hasta,Diana,Petronius,,Fulmen Victoriae,Crassus,,,,,,,Hippocrates,,Mars's Gladius,Vesta,,
,,,,,,,,,,,,,,,,,,,,,,Decima,Crassus,Regilla,Elagabalus,Caracalla,Drusus,,,Veldidena,Danum,Antinopolis,Trier,Arsinoe,Insula Solis,Thessalonica,Cumae,Ammaedara,Parthia,Danum,Vis Neptuni,Tellus,Proserpina,,,,Audacia Bellonae,Vis Neptuni,Justitiae Virtus,Cupid,Transitum,,Ira Martis,Sulla,,,,,,,Eratosthenes,,Janus's Courage,Ceres,,
,,,,,,,,,,,,,,,,,,,,,,Drusilla,Decimus,Sabina,Alexander Severus,Elagabalus,Fabius,,,Verona,Glevum,Coptos,Cologne,Dura-Europos,Rosarium Heliogabali,Athens,Pompeii,Sufetula,Barygaza,Glevum,Furor Fortunae,Venus,Janus,,,,Tempestas Bellonae,Furor Fortunae,Virtus Virtutis,Tellus,Strabo,,Tonitrus Fidei,Nasica,,,,,,,Ptolemy,,Neptune's Scutum,Faunus,,
,,,,,,,,,,,,,,,,,,,,,,Fabia,Drusus,Tullia,Maximinus Thrax,Alexander Severus,Flavius,,,Vipitenum,Isca Dumnoniorum,Berenice Troglodytica,Mainz,Heliopolis,Insula Circae,Capua,Aquileia,Cirta,Pattanam,Isca Dumnoniorum,Imperium Solis,Vesta,Venus,,,,Tonitrus Bellonae,Imperium Solis,Tutelae Furor,Faunus,Vitruvius,,Pilum Manii,Marius,,,,,,,Aristarchus,,Mars's Chariot,Fortuna,,
,,,,,,,,,,,,,,,,,,,,,,Faustina,Fabius,Valeria,Decius,Diocletian,Fulvius,,,Virunum,Venta Belgarum,Kharga Oasis,Londonium,Oxyrhynchus,Hortus Alcinoi,Pompeii,Brundisium,Capsa,Tissamaharama,Venta Belgarum,Ira Solis,Vulcan,Neptune,,,,Currus Victoriae,Ira Solis,Disciplinae Pilum,Mars,Livy,,Quirini Vigilia,Aetius,,,,,,,Epicurus,,Bacchus's Sagitta,Neptune,,
,,,,,,,,,,,,,,,,,,,,,,Flavia,Flavius,Vipsania,Diocletian,Constantine,Gaius,,,Viturbo Augusta,Durovernum Cantiacorum,Arsinoe,Lugdunum,Siwa,Flumen Stygium,Timgad,Ariminum,Gao,Muziris,Durovernum Cantiacorum,Voluntas Bacchi,Faunus,Saturn,,,,Virtus Victoriae,Voluntas Bacchi,Timoris Tonitruum,Saturn,,,Voluntas Timoris,Stilicho,,,,,,,Diogenes,,Mars's Tenacity,Sol,,
,,,,,,,,,,,,,,,,,,,,,,Fulvia,Gaius,,,,Galerius,,,,,,,,,,,,,,Scutum Vestae,,,,,,Gladius Victoriae,Scutum Vestae,Furor Volusiani,,,,Gladius Victoriae,Belisarius,,,,,,,,,Juno's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,Galla,Germanicus,,,,Germanicus,,,,,,,,,,,,,,Tenacitas Neptuni,,,,,,Imperium Victoriae,Tenacitas Neptuni,Scipio Currus,,,,Furor Manii,Aspar,,,,,,,,,Ceres's Scutum,,,
,,,,,,,,,,,,,,,,,,,,,,Julia,Gracchus,,,,Gracchus,,,,,,,,,,,,,,Tonitrus Iovis,,,,,,Ignis Victoriae,Tonitrus Iovis,Vindex Currus,,,,Honoris Tonitruum,Theodoric,,,,,,,,,Juno's Courage,,,
,,,,,,,,,,,,,,,,,,,,,,Junia,Hadrianus,,,,Horatius,,,,,,,,,,,,,,Spatha Apollinis,,,,,,Vigilia Victoriae,Spatha Apollinis,Quirini Tonitru,,,,Pugio Bellonae,Chlorus,,,,,,,,,Tellus's Fire,,,
,,,,,,,,,,,,,,,,,,,,,,Justina,Horatius,,,,Iulius,,,,,,,,,,,,,,Gladius Telluris,,,,,,Sagitta Victoriae,Gladius Telluris,Vox Vindex,,,,Tychon Spatha,Valentinian,,,,,,,,,Cupid's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,Lavinia,Julius,,,,Junius,,,,,,,,,,,,,,Pugio Vulcani,,,,,,Pugio Victoriae,Pugio Vulcani,Praetoriae Audacia,,,,Furor Martis,Theodosius,,,,,,,,,Venus's Gladius,,,
,,,,,,,,,,,,,,,,,,,,,,Livia,Junius,,,,Licinius,,,,,,,,,,,,,,Ira Dianae,,,,,,Pilum Victoriae,Ira Dianae,Pugio Volusiani,,,,Vox Honoris,Constantine,,,,,,,,,Fortuna's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,Lucilla,Justus,,,,Livius,,,,,,,,,,,,,,Virtus Ianus,,,,,,Spatha Victoriae,Virtus Ianus,Vox Ultoris,,,,Metus Sagitta,Julian,,,,,,,,,Bolt of Diana,,,
,,,,,,,,,,,,,,,,,,,,,,Lucretia,Livius,,,,Lucius,,,,,,,,,,,,,,Pilum Iovis,,,,,,Hasta Victoriae,Pilum Iovis,Timoris Imperium,,,,Imperium Volusiani,Paullus,,,,,,,,,Fist of Vesta,,,
,,,,,,,,,,,,,,,,,,,,,,Marcia,Lucius,,,,Mancinus,,,,,,,,,,,,,,Vigilia Dianae,,,,,,Scutum Victoriae,Vigilia Dianae,Tonitrus Honoris,,,,Virtus Victoriae,Lucullus,,,,,,,,,Luna's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,Martina,Magnus,,,,Marcius,,,,,,,,,,,,,,Ira Veneris,,,,,,Furor Victoriae,Ira Veneris,Tychon Vigilia,,,,Vis Scipionis,Sertorius,,,,,,,,,Janus's Tempest,,,
,,,,,,,,,,,,,,,,,,,,,,Maximilla,Marcellus,,,,Maximus,,,,,,,,,,,,,,Scutum Plutonis,,,,,,Ira Victoriae,Scutum Plutonis,Justitiae Sagitta,,,,Spatha Victoriae,Vespasian,,,,,,,,,Juno's Storm,,,
,,,,,,,,,,,,,,,,,,,,,,Messalina,Marcus,,,,Metellus,,,,,,,,,,,,,,Virtus Minervae,,,,,,Tenacitas Victoriae,Virtus Minervae,Scipio Tonitrua,,,,Pugio Concordiae,Titus,,,,,,,,,Voice of Jupiter,,,
,,,,,,,,,,,,,,,,,,,,,,Minervina,Maximus,,,,Nero,,,,,,,,,,,,,,Ira Plutonis,,,,,,Audacia Victoriae,Ira Plutonis,Praetoriae Vigilia,,,,Ignis Martis,Domitian,,,,,,,,,Luna's Audacity,,,
,,,,,,,,,,,,,,,,,,,,,,Octavia,Nero,,,,Nerva,,,,,,,,,,,,,,Tonitrus Telluris,,,,,,Tempestas Victoriae,Tonitrus Telluris,Ire Volusiani,,,,Hasta Manii,Diocletian,,,,,,,,,Bacchus's Fire,,,
,,,,,,,,,,,,,,,,,,,,,,Paulina,Nerva,,,,Octavius,,,,,,,,,,,,,,Gladius Dianae,,,,,,Tonitrus Victoriae,Gladius Dianae,Audacia Manii,,,,Tutelae Iracundia,Honorius,,,,,,,,,Cupid's Storm,,,
,,,,,,,,,,,,,,,,,,,,,,Petronia,Octavianus,,,,Paulus,,,,,,,,,,,,,,Tenacitas Bacchi,,,,,,Currus Martis,Tenacitas Bacchi,Disciplinae Sagitta,,,,Praetoriae Furor,Theodosius,,,,,,,,,Fortuna's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,Plautilla,Paulus,,,,Piso,,,,,,,,,,,,,,Carrus Cereris,,,,,,Virtus Martis,Carrus Cereris,Pilum Manii,,,,Fulmen Pavoris,Alaric,,,,,,,,,Neptune's Fury,,,
,,,,,,,,,,,,,,,,,,,,,,Pomponia,Plinius,,,,Plinius,,,,,,,,,,,,,,Sagitta Cereris,,,,,,Gladius Martis,Sagitta Cereris,Timoris Pilum,,,,Disciplinae Tempestas,Attila,,,,,,,,,Fist of Cupid,,,
,,,,,,,,,,,,,,,,,,,,,,Porcia,Pompeius,,,,Pompeius,,,,,,,,,,,,,,Ira Neptuni,,,,,,Imperium Martis,Ira Neptuni,Vigilia Fortunae,,,,Tychon Tonitrua,Leo,,,,,,,,,Might of Fortuna,,,
,,,,,,,,,,,,,,,,,,,,,,Prima,Postumus,,,,Postumus,,,,,,,,,,,,,,Vox Veneris,,,,,,Ignis Martis,Vox Veneris,Gladius Manii,,,,Metus Audacia,Ricimer,,,,,,,,,Cupid's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,Publia,Publius,,,,Quinctilius,,,,,,,,,,,,,,Carrus Plutonis,,,,,,Vigilia Martis,Carrus Plutonis,Scipio Vigilia,,,,Hasta Bellonae,Odoacer,,,,,,,,,Ceres's Command,,,
,,,,,,,,,,,,,,,,,,,,,,Quinta,Quintus,,,,Regulus,,,,,,,,,,,,,,Tonitrus Martis,,,,,,Sagitta Martis,Tonitrus Martis,Vindex Imperium,,,,Scipio Tenacitas,Justinian,,,,,,,,,Bacchus's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,Regilla,Regulus,,,,Scaevola,,,,,,,,,,,,,,Tenacitas Fauni,,,,,,Pugio Martis,Tenacitas Fauni,Virtus Felicitatis,,,,Vindex Imperium,Narses,,,,,,,,,Fortuna's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,Sabina,Scipio,,,,Scipio,,,,,,,,,,,,,,Ignis Saturni,,,,,,Pilum Martis,Ignis Saturni,Quirini Ira,,,,Justitiae Imperium,Heraclius,,,,,,,,,Jupiter's Pugio,,,
,,,,,,,,,,,,,,,,,,,,,,Salvia,Septimius,,,,Sulpicius,,,,,,,,,,,,,,Sagitta Veneris,,,,,,Spatha Martis,Sagitta Veneris,Pugnus Tutelae,,,,Metus Gladius,,,,,,,,,,Vulcan's Courage,,,
,,,,,,,,,,,,,,,,,,,,,,Secunda,Servius,,,,Tacitus,,,,,,,,,,,,,,Gladius Solis,,,,,,Hasta Martis,Gladius Solis,Procella Honoris,,,,Carrus Honoris,,,,,,,,,,Juno's Spatha,,,
,,,,,,,,,,,,,,,,,,,,,,Septima,Suetonius,,,,Terentius,,,,,,,,,,,,,,Ira Cupidinis,,,,,,Scutum Martis,Ira Cupidinis,Pilum Martis,,,,Praetoriae Hasta,,,,,,,,,,Sol's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,Tertia,Tiberius,,,,Tullius,,,,,,,,,,,,,,Hasta Iovis,,,,,,Furor Martis,Hasta Iovis,Disciplinae Furor,,,,Tempestas Victoriae,,,,,,,,,,Venus's Valor,,,
,,,,,,,,,,,,,,,,,,,,,,Valeria,Virgilius,,,,Valerius,,,,,,,,,,,,,,Audacia Apollinis,,,,,,Ira Martis,Audacia Apollinis,Carrus Honoris,,,,Pavoris Currus,,,,,,,,,,Cupid's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtus Martis,,,,,,Tenacitas Martis,Virtus Martis,Spatha Victoriae,,,,Ignis Victoriae,,,,,,,,,,Vulcan's Tempest,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladius Cereris,,,,,,Audacia Martis,Gladius Cereris,Tenacitas Manii,,,,Gladius Bellonae,,,,,,,,,,Bolt of Faunus,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenacitas Minervae,,,,,,Tempestas Martis,Tenacitas Minervae,Tutelae Scutum,,,,Justitiae Valor,,,,,,,,,,Venus's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulmen Cupidinis,,,,,,Tonitrus Martis,Fulmen Cupidinis,Vis Virtutis,,,,Tychon Tenacitas,,,,,,,,,,Will of Mercury,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sagitta Neptuni,,,,,,Currus Virtutis,Sagitta Neptuni,Victoriae Furor,,,,Fulmen Quirini,,,,,,,,,,Saturn's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignis Minervae,,,,,,Virtus Virtutis,Ignis Minervae,Scutum Fortunae,,,,Pugio Honoris,,,,,,,,,,Will of Juno,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ira Minervae,,,,,,Gladius Virtutis,Ira Minervae,Honoris Ira,,,,Justitiae Audacia,,,,,,,,,,Minerva's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audacia Neptuni,,,,,,Imperium Virtutis,Audacia Neptuni,Tenacitas Fortunae,,,,Tonitru Volusiani,,,,,,,,,,Wrath of Cupid,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scutum Vulcani,,,,,,Ignis Virtutis,Scutum Vulcani,Praetoriae Spatha,,,,Pugnus Victoriae,,,,,,,,,,Jupiter's Tenacity,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sagitta Bacchi,,,,,,Vigilia Virtutis,Sagitta Bacchi,Ira Volusiani,,,,Praetoriae Pugio,,,,,,,,,,Janus's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pugnus Veneris,,,,,,Sagitta Virtutis,Pugnus Veneris,Pavoris Ira,,,,Justitiae Currus,,,,,,,,,,Diana's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatha Cereris,,,,,,Pugio Virtutis,Spatha Cereris,Justitiae Tenacitas,,,,Pavoris Spatha,,,,,,,,,,Diana's Spatha,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scutum Bacchi,,,,,,Pilum Virtutis,Scutum Bacchi,Tempestas Victoriae,,,,Ira Honoris,,,,,,,,,,Ceres's Audacity,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtus Plutonis,,,,,,Spatha Virtutis,Virtus Plutonis,Fulmen Victoriae,,,,Ira Volusiani,,,,,,,,,,Mercury's Tempest,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulmen Junonis,,,,,,Hasta Virtutis,Fulmen Junonis,Tutelae Pilum,,,,Justitiae Furor,,,,,,,,,,Apollo's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audacia Bacchi,,,,,,Scutum Virtutis,Audacia Bacchi,Timoris Ira,,,,Pugnus Virtutis,,,,,,,,,,Janus's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pugio Plutonis,,,,,,Furor Virtutis,Pugio Plutonis,Victoriae Tonitruum,,,,Disciplinae Tonitru,,,,,,,,,,Voice of Vesta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempestas Saturni,,,,,,Ira Virtutis,Tempestas Saturni,Voluntas Tutelae,,,,Virtus Martis,,,,,,,,,,Wrath of Jupiter,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenacitas Iovis,,,,,,Tenacitas Virtutis,Tenacitas Iovis,Tychon Imperium,,,,Pugnus Pavoris,,,,,,,,,,Bacchus's Spatha,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ira Martis,,,,,,Audacia Virtutis,Ira Martis,Justitiae Imperium,,,,Pugio Fortunae,,,,,,,,,,Jupiter's Fire,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempestas Cereris,,,,,,Tempestas Virtutis,Tempestas Cereris,Gladius Victoriae,,,,Pavoris Audacia,,,,,,,,,,Mercury's Audacity,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatha Dianae,,,,,,Tonitrus Virtutis,Spatha Dianae,Audacia Virtutis,,,,Pugnus Scipionis,,,,,,,,,,Luna's Command,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pugio Solis,,,,,,Currus Fortunae,Pugio Solis,Pugnus Vindex,,,,Vox Felicitatis,,,,,,,,,,Might of Pluto,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audacia Cereris,,,,,,Virtus Fortunae,Audacia Cereris,Timoris Currus,,,,Ira Disciplinae,,,,,,,,,,Fist of Minerva,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladius Fauni,,,,,,Gladius Fortunae,Gladius Fauni,Quirini Imperium,,,,Praetoriae Sagitta,,,,,,,,,,Tellus's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scutum Fortunae,,,,,,Imperium Fortunae,Scutum Fortunae,Vigilia Virtutis,,,,Scipio Furor,,,,,,,,,,Jupiter's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtus Bacchi,,,,,,Ignis Fortunae,Virtus Bacchi,Ira Bellonae,,,,Scutum Felicitatis,,,,,,,,,,Saturn's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulmen Mercurii,,,,,,Vigilia Fortunae,Fulmen Mercurii,Scipio Sagitta,,,,Victoriae Imperium,,,,,,,,,,Luna's Courage,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulmen Cereris,,,,,,Sagitta Fortunae,Fulmen Cereris,Tychon Scutum,,,,Praetoriae Tonitru,,,,,,,,,,Bolt of Minerva,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imperium Martis,,,,,,Pugio Fortunae,Imperium Martis,Scipio Scutum,,,,Gladius Felicitatis,,,,,,,,,,Tellus's Audacity,,,
