namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Ariana,Hugo,,,,Espinoza,,,,,,,,,,,,,,Breedlove,Diaz,Merkel,Bourget,,,Starfighter,Vargas,Visby,Diaz,,,Cyclone,Paraguay,,,,,,,,,Tovey,Elizabeth II,,
,,,,,,,,,,,,,,,,,,,,,,Beatriz,Ignacio,,,,Estrada,,,,,,,,,,,,,,Rasmussen,Louis XIV,Trudeau,Zurich,,,Pave Hawk,Macron,Gnat,Attlee,,,Karel Doorman,Uruguay,,,,,,,,,Douglass,Lincoln,,
,,,,,,,,,,,,,,,,,,,,,,Bianca,Isaac,,,,Farias,,,,,,,,,,,,,,Stavridis,Lincoln,Macron,Trasimeno,,,Sabre,Brandt,Bremen,Obama,,,Dauntless,Andorra,,,,,,,,,Ralston,Vargas,,
,,,,,,,,,,,,,,,,,,,,,,Bruna,Ivan,,,,Fernandez,,,,,,,,,,,,,,Foggo,,,Annecy,,,Dragonfly,,Descubierta,,,,Gowind,Guyana,,,,,,,,,Breed,,,
,,,,,,,,,,,,,,,,,,,,,,Carlota,Javier,,,,Flores,,,,,,,,,,,,,,Wolters,,,,,,Tornado,,Corsair,,,,Stratofortress,Liechtenstein,,,,,,,,,King,,,
,,,,,,,,,,,,,,,,,,,,,,Carmen,Joel,,,,Franco,,,,,,,,,,,,,,Mercier,,,,,,Reaper,,Black Hawk,,,,Lightning II,Barbados,,,,,,,,,Halsey,,,
,,,,,,,,,,,,,,,,,,,,,,Celeste,Jorge,,,,Gallegos,,,,,,,,,,,,,,Lanata,,,,,,Fearless,,Sabre,,,,Lightning,Portugal,,,,,,,,,Fraser,,,
,,,,,,,,,,,,,,,,,,,,,,Clara,Jose,,,,Garcia,,,,,,,,,,,,,,Bartels,,,,,,Havoc,,Nelson,,,,Tripartite,Netherlands,,,,,,,,,Leigh-Mallory,,,
,,,,,,,,,,,,,,,,,,,,,,Constanza,Josue,,,,Garza,,,,,,,,,,,,,,Pavel,,,,,,Apache,,Berlin,,,,Visby,San Marino,,,,,,,,,Powell,,,
,,,,,,,,,,,,,,,,,,,,,,Daniela,Juan,,,,Gomez,,,,,,,,,,,,,,Gortney,,,,,,Oaxaca,,Lysander,,,,Warhawk,Belgium,,,,,,,,,Perry,,,
,,,,,,,,,,,,,,,,,,,,,,Diana,Julian,,,,Gonzales,,,,,,,,,,,,,,Scaparrotti,,,,,,Dreadnought,,Defiant,,,,FREMM,France,,,,,,,,,Craddock,,,
,,,,,,,,,,,,,,,,,,,,,,Dulce,Julio,,,,Gonzalez,,,,,,,,,,,,,,Hodges,,,,,,Gnat,,Sachsen,,,,Dauntless,Ecuador,,,,,,,,,Costilla,,,
,,,,,,,,,,,,,,,,,,,,,,Elisa,Leonardo,,,,Guerrero,,,,,,,,,,,,,,Sklavounos,,,,,,Skjold,,Spirit,,,,Tomcat,Norway,,,,,,,,,Rokke,,,
,,,,,,,,,,,,,,,,,,,,,,Emilia,Luis,,,,Gutierrez,,,,,,,,,,,,,,Smith,,,,,,Bayern,,Thunderbolt,,,,Harrier,America,,,,,,,,,Sklenka,,,
,,,,,,,,,,,,,,,,,,,,,,Estela,Manuel,,,,Hernandez,,,,,,,,,,,,,,Palomeros,,,,,,Spitfire,,Tornado,,,,Skyhawk,Wales,,,,,,,,,Woloszyn,,,
,,,,,,,,,,,,,,,,,,,,,,Fabiola,Marco,,,,Herrera,,,,,,,,,,,,,,Di Paola,,,,,,Cougar,,He 111,,,,Spirit,Honduras,,,,,,,,,York,,,
,,,,,,,,,,,,,,,,,,,,,,Fernanda,Mario,,,,Ibarra,,,,,,,,,,,,,,Shearer,,,,,,Baden-Wurttemberg,,Wildcat,,,,Falcon,Venezuela,,,,,,,,,Montgomery,,,
,,,,,,,,,,,,,,,,,,,,,,Gabriela,Martin,,,,Jaimes,,,,,,,,,,,,,,Jones,,,,,,Type 45,,Flower,,,,Texan II,Belize,,,,,,,,,Equiano,,,
,,,,,,,,,,,,,,,,,,,,,,Genesis,Mateo,,,,Jimenez,,,,,,,,,,,,,,Richards,,,,,,Raptor,,Queen Elizabeth,,,,Carrasco,El Salvador,,,,,,,,,Ramsay,,,
,,,,,,,,,,,,,,,,,,,,,,Graciela,Mauricio,,,,Juarez,,,,,,,,,,,,,,Houghton,,,,,,Predator,,Taranis,,,,Tigershark,Guatemala,,,,,,,,,Brooke-Popham,,,
,,,,,,,,,,,,,,,,,,,,,,Guadalupe,Max,,,,Lara,,,,,,,,,,,,,,Demers,,,,,,America,,Sandown,,,,Black Hawk,Canada,,,,,,,,,Murphy,,,
,,,,,,,,,,,,,,,,,,,,,,Ines,Miguel,,,,Leal,,,,,,,,,,,,,,Henault,,,,,,Berlin,,Skyray,,,,Super Sabre,Luxembourg,,,,,,,,,Stirling,,,
,,,,,,,,,,,,,,,,,,,,,,Irene,Nando,,,,Leon,,,,,,,,,,,,,,Vance,,,,,,Merlin,,Gowind,,,,Pave Hawk,Peru,,,,,,,,,Rasmussen,,,
,,,,,,,,,,,,,,,,,,,,,,Ivana,Nestor,,,,Lerma,,,,,,,,,,,,,,Bouchard,,,,,,Ada-class,,Storch,,,,Fridtjof Nansen,Antigua,,,,,,,,,Nimitz,,,
,,,,,,,,,,,,,,,,,,,,,,Jimena,Nicolas,,,,Linares,,,,,,,,,,,,,,Van den Burg,,,,,,Vanguard,,Canberra,,,,Trafalgar,Switzerland,,,,,,,,,Marshall,,,
,,,,,,,,,,,,,,,,,,,,,,Josefita,Octavio,,,,Loera,,,,,,,,,,,,,,van Uhm,,,,,,Argos,,Stratotanker,,,,Nighthawk,,,,,,,,,,Mercier,,,
,,,,,,,,,,,,,,,,,,,,,,Juana,Orlando,,,,Lopez,,,,,,,,,,,,,,Clark,,,,,,Intruder,,Tucano,,,,Seahawk,,,,,,,,,,Hummel,,,
,,,,,,,,,,,,,,,,,,,,,,Julieta,Oscar,,,,Luna,,,,,,,,,,,,,,Joulwan,,,,,,SBD Dauntless,,Thunderchief,,,,Vulcan,,,,,,,,,,Demers,,,
,,,,,,,,,,,,,,,,,,,,,,Karen,Pablo,,,,Madrid,,,,,,,,,,,,,,Naumann,,,,,,Thunderbolt,,Stratofortress,,,,Blackbird,,,,,,,,,,van Uhm,,,
,,,,,,,,,,,,,,,,,,,,,,Karina,Pancho,,,,Maldonado,,,,,,,,,,,,,,Rokke,,,,,,Super Etendard,,Globemaster,,,,Resolution,,,,,,,,,,Bradley,,,
,,,,,,,,,,,,,,,,,,,,,,Lara,Pedro,,,,Marquez,,,,,,,,,,,,,,Craddock,,,,,,Tripartite,,Amazonas,,,,Goshawk,,,,,,,,,,Hart,,,
,,,,,,,,,,,,,,,,,,,,,,Leticia,Rafael,,,,Martinez,,,,,,,,,,,,,,Bortoluzzi,,,,,,Victor,,Airacobra,,,,Aardvark,,,,,,,,,,Wilson,,,
,,,,,,,,,,,,,,,,,,,,,,Liliana,Ramon,,,,Medina,,,,,,,,,,,,,,Giambastiani,,,,,,Tigershark,,Nansen,,,,Tucano,,,,,,,,,,Joulwan,,,
,,,,,,,,,,,,,,,,,,,,,,Loreto,Raul,,,,Mejia,,,,,,,,,,,,,,Rice,,,,,,Valiant,,Kilo,,,,Berlin,,,,,,,,,,Sheppard,,,
,,,,,,,,,,,,,,,,,,,,,,Lourdes,Ricardo,,,,Mendoza,,,,,,,,,,,,,,Odierno,,,,,,Kingcobra,,San Giorgio,,,,Gladiator,,,,,,,,,,Palomeros,,,
,,,,,,,,,,,,,,,,,,,,,,Luciana,Roberto,,,,Mercado,,,,,,,,,,,,,,Scowcroft,,,,,,Talon,,Rotterdam,,,,Skytrain,,,,,,,,,,Harville,,,
,,,,,,,,,,,,,,,,,,,,,,Mabel,Rodrigo,,,,Miranda,,,,,,,,,,,,,,Petraeus,,,,,,D'Estienne d'Orves,,Aardvark,,,,Canberra,,,,,,,,,,Somerville,,,
,,,,,,,,,,,,,,,,,,,,,,Magdalena,Rogelio,,,,Molina,,,,,,,,,,,,,,Mattis,,,,,,Comandanti,,Spitfire,,,,Mitchell,,,,,,,,,,Brooke,,,
,,,,,,,,,,,,,,,,,,,,,,Marcela,Ruben,,,,Monroy,,,,,,,,,,,,,,Allen,,,,,,Cobra,,Lancer,,,,Bayern,,,,,,,,,,Doss,,,
,,,,,,,,,,,,,,,,,,,,,,Mariela,Salvador,,,,Montes,,,,,,,,,,,,,,Breed,,,,,,Ton,,San Antonio,,,,He 162,,,,,,,,,,Gortney,,,
,,,,,,,,,,,,,,,,,,,,,,Martina,Samuel,,,,Morales,,,,,,,,,,,,,,Woloszyn,,,,,,Yavuz-class,,Tornado,,,,Thunderbolt II,,,,,,,,,,Sturdee,,,
,,,,,,,,,,,,,,,,,,,,,,Mercedes,Santiago,,,,Moreno,,,,,,,,,,,,,,Sklenka,,,,,,Black Hawk,,Hornet,,,,Nansen,,,,,,,,,,Guevara,,,
,,,,,,,,,,,,,,,,,,,,,,Milena,Saul,,,,Munoz,,,,,,,,,,,,,,Bartels,,,,,,Goshawk,,Absalon,,,,Chinook,,,,,,,,,,Spruance,,,
,,,,,,,,,,,,,,,,,,,,,,Nadia,Sebastian,,,,Murillo,,,,,,,,,,,,,,Sirnick,,,,,,Draken,,Galaxy,,,,Defiant,,,,,,,,,,Odierno,,,
,,,,,,,,,,,,,,,,,,,,,,Natalia,Sergio,,,,Navarro,,,,,,,,,,,,,,Goransson,,,,,,Vulcan,,Trafalgar,,,,Taranis,,,,,,,,,,Bader,,,
,,,,,,,,,,,,,,,,,,,,,,Olga,Simon,,,,Nunez,,,,,,,,,,,,,,Harville,,,,,,Skyhawk,,Leander,,,,Tornado,,,,,,,,,,Houghton,,,
,,,,,,,,,,,,,,,,,,,,,,Patricia,Tadeo,,,,Ochoa,,,,,,,,,,,,,,Hummel,,,,,,Astute,,Hornet,,,,Viking,,,,,,,,,,Tedder,,,
,,,,,,,,,,,,,,,,,,,,,,Paulina,Thomas,,,,Olivas,,,,,,,,,,,,,,Perry,,,,,,Talon,,Lightning,,,,Predator,,,,,,,,,,Goransson,,,
,,,,,,,,,,,,,,,,,,,,,,Paz,Timoteo,,,,Olmedo,,,,,,,,,,,,,,Shalikashvili,,,,,,Chinook,,America,,,,Amazonas,,,,,,,,,,Henault,,,
,,,,,,,,,,,,,,,,,,,,,,Raquel,Tobias,,,,Ortega,,,,,,,,,,,,,,Joulwan,,,,,,Cyclone,,Talwar,,,,Reaper,,,,,,,,,,Naumann,,,
,,,,,,,,,,,,,,,,,,,,,,Renata,Tomas,,,,Ortiz,,,,,,,,,,,,,,Ralston,,,,,,Thunderbolt,,Raptor,,,,Galaxy,,,,,,,,,,Rommel,,,
,,,,,,,,,,,,,,,,,,,,,,Rosalba,Tony,,,,Osorio,,,,,,,,,,,,,,Clark,,,,,,Marauder,,Vulcan,,,,Talwar,,,,,,,,,,Hemingway,,,
,,,,,,,,,,,,,,,,,,,,,,Rosario,Ulises,,,,Pacheco,,,,,,,,,,,,,,Jones,,,,,,Galaxy,,Koln,,,,Marauder,,,,,,,,,,Jones,,,
,,,,,,,,,,,,,,,,,,,,,,Rosita,Victor,,,,Padilla,,,,,,,,,,,,,,Rokke,,,,,,Skytrain,,He 162,,,,Warthog,,,,,,,,,,Cunningham,,,
,,,,,,,,,,,,,,,,,,,,,,Sara,Vinicio,,,,Palacios,,,,,,,,,,,,,,Craddock,,,,,,Sabre,,Tucano,,,,Lightning,,,,,,,,,,Norstad,,,
,,,,,,,,,,,,,,,,,,,,,,Selena,Xavier,,,,Paredes,,,,,,,,,,,,,,Sheppard,,,,,,Defiant,,Collins,,,,Hawk,,,,,,,,,,Haig,,,
,,,,,,,,,,,,,,,,,,,,,,Silvana,Yahir,,,,Parra,,,,,,,,,,,,,,Luns,,,,,,Mirage,,Eagle,,,,Stratotanker,,,,,,,,,,Stavridis,,,
,,,,,,,,,,,,,,,,,,,,,,Solange,Yago,,,,Pena,,,,,,,,,,,,,,Haig,,,,,,Typhoon,,Dauphin,,,,River,,,,,,,,,,Scowcroft,,,
,,,,,,,,,,,,,,,,,,,,,,Susana,Yeray,,,,Perez,,,,,,,,,,,,,,Powell,,,,,,Tempest,,Resolution,,,,Aardvark,,,,,,,,,,Rogers,,,
