namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_second_names,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Elena,Pavel,Volkov,Yekaterina,Feodor,Vorontsov,,,Dnepropetrovsk,Kyzylorda,Moynaq,Kulyab,Kirov,Nizhnevartovsk,Novorossiysk,Novaya Zemlya,Khorgo,Kislovodsk,Tsargrad,Chechnya,Petrenko,Petrenko,Petrenko,Bredov,Bredov,Bredov,Kravchuk,Kravchuk,Kravchuk,Kravchuk,,,,Seliger,Mechel,Perelman,Ovtsyn,Ginzburg,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Victoria,Maxim,Romanov,Vera,Boris,Orlov,,,Gorky,Merv,Nukus,Leninabad,Kostroma,Novokuznetsk,Odessa,Pevek,Komsomolsk-on-Amur,Krasnodar,Chernobog,Chelyabinsk,Skobeev,Skobeev,Skobeev,Brezhnev,Brezhnev,Brezhnev,Kuchma,Kuchma,Kuchma,Kuchma,,,,Taimyr,Alrosa,Matveev,Khabarov,Lebedev,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tatiana,Artem,Zaitsev,Zinaida,Ivan VI,Sheremetev,,,Samara,Nukus,Samarkand,Namangan,Krasnodar,Novosibirsk,Petropavlovsk-Kamchatsky,Salekhard,Lensk,Makhachkala,Chud,Chukotka,Suvorov-Rymniksky,Suvorov-Rymniksky,Suvorov-Rymniksky,Budberg,Budberg,Budberg,Khrushchev,Khrushchev,Khrushchev,Khrushchev,,,,Teletskoye,Rostec,Proskuryakov,Anjou,Shklovsky,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Daria,Anton,Pavlov,Irina,Peter II,Demidov,,,Sverdlovsk,Samarkand,Syr-Darya,Osh,Kursk,Orenburg,Riga,Severodvinsk,Mirny,Maykop,Zlatograd,Chuvashia,Kozhedub,Kozhedub,Kozhedub,Budyonny,Budyonny,Budyonny,Kosygin,Kosygin,Kosygin,Kosygin,,,,Topozero,Russian Railways,Vlasov,Kozlov,Kurchatov,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ksenia,Denis,Semyonov,Feodora,Peter III,Yusupov,,,Stalingrad,Semipalatinsk,Taklamakan,Pamir,Lipetsk,Pavlodar,Sevastopol,Tiksi,Naryan-Mar,Pitsunda,Gorynych,Crimea,Zaytsev,Zaytsev,Zaytsev,Cheliuskin,Cheliuskin,Cheliuskin,Lavrov,Lavrov,Lavrov,Lavrov,,,,Uvs Nuur,Polyus Gold,Novozhilov,Vil'kitsky,Tereshkova,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Svetlana,Igor,Golubev,Anna Leopoldovna,Alexander II,Obolensky,,,Krasnoyarsk,Tashkent,Termez,Penjikent,Murmansk,Petropavlovsk,Sochi,Usinsk,Novy Urengoy,Rostov-on-Don,Gorodets,Dagestan,Pavlichenko,Pavlichenko,Pavlichenko,Chernyakhovsky,Chernyakhovsky,Chernyakhovsky,Lenin,Lenin,Lenin,Lenin,,,,Vänern,Evraz,Krylov,Wrangel,Korolev,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marina,Kirill,Vinogradov,Anna Ioannovna,Nicholas II,Gagarin,,,Saratov,Termez,Toshkent,Qarshi,Novgorod,Saratov,Tallinn,Vorkuta,Pevek,Sochi,Vyraj,Ingushetia,Kuzmin,Kuzmin,Kuzmin,Chetvyorkin,Chetvyorkin,Chetvyorkin,Medvedev,Medvedev,Medvedev,Medvedev,,,,Vygozero,MTS,Melnikov,Malygin,Cherenkov,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Vera,Vitaliy,Bogdanov,Elena,Alexander III,Trubetskoy,,,Perm,Ufa,Turkmenbashi,Tashkent,Omsk,Semipalatinsk,Tbilisi,Yakutsk,Salekhard,Sukhumi,Arkona,Irkutsk,Demidov,Demidov,Demidov,Chichagov,Chichagov,Chichagov,Molotov,Molotov,Molotov,Molotov,,,,Khanka,Uralkali,Vysotsky,Chelyuskin,Glushko,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lilia,Daniil,Vorobyov,Alexandra Pavlovna,Michael II,Kurakin,,,Voronezh,Urgench,Urgench,Termez,Penza,Tselinograd,Vladivostok,Yamal,Tiksi,Tbilisi,Dwarven Gorod,Ivanovo,Gastello,Gastello,Gastello,Chuikov,Chuikov,Chuikov,Nazarbayev,Nazarbayev,Nazarbayev,Nazarbayev,,,,Beloye,Aeroflot,Knorre,Makarov,Euler,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alina,Fedor,Andreev,Tatiana,Ivan V,Biron,,,Kuibyshev,Zarafshan,Zarafshan,Uchkurgan,Rostov-on-Don,Ust-Kamenogorsk,Yalta,Zapolarny,Vorkuta,Yalta,Tsaritsyno,Kabardino-Balkaria,Poddubny,Poddubny,Poddubny,Chuykov,Chuykov,Chuykov,Nemtsov,Nemtsov,Nemtsov,Nemtsov,,,,Ysyk-Köl,NLMK,Yakovlev,Fedorova,Favorskii,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Galina,Timur,Kharitonov,,,,,,,,,,,,,,,,,Kaliningrad,Panikakha,Panikakha,Panikakha,Danilov,Danilov,Danilov,Niyazov,Niyazov,Niyazov,Niyazov,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Valentina,Yaroslav,Dmitriev,,,,,,,,,,,,,,,,,Kalmykia,Brusilov,Brusilov,Brusilov,Demidov,Demidov,Demidov,Putin,Putin,Putin,Putin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sofia,Vladislav,Egorov,,,,,,,,,,,,,,,,,Kaluga,Bagration,Bagration,Bagration,Denikin,Denikin,Denikin,Primakov,Primakov,Primakov,Primakov,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Evgenia,Grigory,Abramov,,,,,,,,,,,,,,,,,Kamchatka,Karbyshev,Karbyshev,Karbyshev,Deribas,Deribas,Deribas,Rahmon,Rahmon,Rahmon,Rahmon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Angelina,Konstantin,Nikitin,,,,,,,,,,,,,,,,,Karachay-Cherkessia,Kuznetsov,Kuznetsov,Kuznetsov,Dorokhov,Dorokhov,Dorokhov,Shamir,Shamir,Shamir,Shamir,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tamara,Oleg,Gusev,,,,,,,,,,,,,,,,,Karelia,Tyulenev,Tyulenev,Tyulenev,Dovator,Dovator,Dovator,Shevardnadze,Shevardnadze,Shevardnadze,Shevardnadze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lyudmila,Evgeny,Fedorov,,,,,,,,,,,,,,,,,Kemerovo,Chapaev,Chapaev,Chapaev,Dragomirov,Dragomirov,Dragomirov,Shushkevich,Shushkevich,Shushkevich,Shushkevich,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anastasiya,Stanislav,Vasiliev,,,,,,,,,,,,,,,,,Khabarovsk,Zhukov,Zhukov,Zhukov,Drozdovsky,Drozdovsky,Drozdovsky,Smirnov,Smirnov,Smirnov,Smirnov,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elizaveta,Leonid,Alexandrov,,,,,,,,,,,,,,,,,Khakassia,Pavlov,Pavlov,Pavlov,Dubasov,Dubasov,Dubasov,Stalin,Stalin,Stalin,Stalin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Margarita,Aleksey,Mikhailov,,,,,,,,,,,,,,,,,Khanty-Mansi,Rokossovsky,Rokossovsky,Rokossovsky,Durov,Durov,Durov,Stolypin,Stolypin,Stolypin,Stolypin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yana,Vyacheslav,Fedotov,,,,,,,,,,,,,,,,,Kirov,Chuikov,Chuikov,Chuikov,Dybenko,Dybenko,Dybenko,Tikhanovskaya,Tikhanovskaya,Tikhanovskaya,Tikhanovskaya,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alla,Daniil,Spiridonov,,,,,,,,,,,,,,,,,Komi,Fedyuninsky,Fedyuninsky,Fedyuninsky,Fadeyev,Fadeyev,Fadeyev,Yanukovych,Yanukovych,Yanukovych,Yanukovych,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Roza,Gleb,Stepanov,,,,,,,,,,,,,,,,,Kostroma,Matrosov,Matrosov,Matrosov,Fedorov,Fedorov,Fedorov,Yeltsin,Yeltsin,Yeltsin,Yeltsin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ekaterina,Ruslan,Karpov,,,,,,,,,,,,,,,,,Krasnodar,Krylov,Krylov,Krylov,Fedyuninsky,Fedyuninsky,Fedyuninsky,Zyuganov,Zyuganov,Zyuganov,Zyuganov,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Inna,Evgeniy,Mironov,,,,,,,,,,,,,,,,,Krasnoyarsk,Medvedev,Medvedev,Medvedev,Gaidar,Gaidar,Gaidar,Adamkus,Adamkus,Adamkus,Adamkus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elena,Nikita,Aksakov,,,,,,,,,,,,,,,,,Kurgan,Bykov,Bykov,Bykov,Galkin,Galkin,Galkin,Bauman,Bauman,Bauman,Bauman,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Raisa,Boris,Nikonov,,,,,,,,,,,,,,,,,Kursk,Safonov,Safonov,Safonov,Gannibal,Gannibal,Gannibal,Brzezinski,Brzezinski,Brzezinski,Brzezinski,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anastacia,Eduard,Pavlova,,,,,,,,,,,,,,,,,Leningrad Oblast,Nomokonov,Nomokonov,Nomokonov,Gantimurov,Gantimurov,Gantimurov,Kadyrov,Kadyrov,Kadyrov,Kadyrov,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mariya,Gennady,Semyonova,,,,,,,,,,,,,,,,,Lipetsk,Sidorenko,Sidorenko,Sidorenko,Georgyevsky,Georgyevsky,Georgyevsky,Somoni,Somoni,Somoni,Somoni,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lyubov,Ivan,Golubeva,,,,,,,,,,,,,,,,,Magadan,Durnovo,Durnovo,Durnovo,Glushko,Glushko,Glushko,Pushkin,Pushkin,Pushkin,Pushkin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Valeriya,Igor,Vinogradova,,,,,,,,,,,,,,,,,Mari El,Muromets,Muromets,Muromets,Golitsyn,Golitsyn,Golitsyn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ekaterina,Lev,Bogdanova,,,,,,,,,,,,,,,,,Mordovia,Derzhavin,Derzhavin,Derzhavin,Gorchakov,Gorchakov,Gorchakov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kristina,Mikhailo,Vorobyova,,,,,,,,,,,,,,,,,Moscow,Deynekin,Deynekin,Deynekin,Gorshkov,Gorshkov,Gorshkov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yelena,Vasiliy,Andreeva,,,,,,,,,,,,,,,,,Murmansk,Akhromeyev,Akhromeyev,Akhromeyev,Govorov,Govorov,Govorov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anastasiia,Yegor,Kharitonova,,,,,,,,,,,,,,,,,Nenets,Girenko,Girenko,Girenko,Grechko,Grechko,Grechko,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sofiya,Artur,Dmitrieva,,,,,,,,,,,,,,,,,Nizhny Novgorod,Olshansky,Olshansky,Olshansky,Greig,Greig,Greig,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yevgeniya,Dmitri,Egorova,,,,,,,,,,,,,,,,,North Ossetia-Alania,Kravchenko,Kravchenko,Kravchenko,Isakov,Isakov,Isakov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alexandra,Sergey,Abramova,,,,,,,,,,,,,,,,,Novgorod,Gromov,Gromov,Gromov,Ivanov,Ivanov,Ivanov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elina,Vadim,Nikitina,,,,,,,,,,,,,,,,,Novosibirsk,Safronov,Safronov,Safronov,Izmailov,Izmailov,Izmailov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Veronika,Egor,Guseva,,,,,,,,,,,,,,,,,Omsk,Yanayev,Yanayev,Yanayev,Kabanov,Kabanov,Kabanov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nataliya,Igor,Fedorova,,,,,,,,,,,,,,,,,Orenburg,Pozharsky,Pozharsky,Pozharsky,Kakhovsky,Kakhovsky,Kakhovsky,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Valya,Vsevolod,Vasilieva,,,,,,,,,,,,,,,,,Oryol,Kozhedub,Kozhedub,Kozhedub,Kamensky,Kamensky,Kamensky,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tatyana,Pyotr,Alexandrova,,,,,,,,,,,,,,,,,Penza,Kuznetsov,Kuznetsov,Kuznetsov,Kappel,Kappel,Kappel,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Polya,Nikita,Mikhailova,,,,,,,,,,,,,,,,,Perm,Dovator,Dovator,Dovator,Karbyshev,Karbyshev,Karbyshev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Varvara,Aleksandr,Fedotova,,,,,,,,,,,,,,,,,Primorsky Krai,Kondratiev,Kondratiev,Kondratiev,Karpov,Karpov,Karpov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Darya,Anatoli,Spiridonova,,,,,,,,,,,,,,,,,Pskov,Sidorov,Sidorov,Sidorov,Kazakov,Kazakov,Kazakov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kira,Sergei,Stepanova,,,,,,,,,,,,,,,,,Rostov,Mikhailov,Mikhailov,Mikhailov,Kazantsev,Kazantsev,Kazantsev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mariya,Ilya,Karpova,,,,,,,,,,,,,,,,,Ryazan,Voronov,Voronov,Voronov,Kharlamov,Kharlamov,Kharlamov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Natalya,Bogdan,Mironova,,,,,,,,,,,,,,,,,Sakha,Belov,Belov,Belov,Khrushchev,Khrushchev,Khrushchev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Oksana,Artyom,Aksakova,,,,,,,,,,,,,,,,,Sakhalin,Kulikov,Kulikov,Kulikov,Knyazev,Knyazev,Knyazev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Zoya,Georgiy,Nikonova,,,,,,,,,,,,,,,,,Samara,Belyakov,Belyakov,Belyakov,Kolchak,Kolchak,Kolchak,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mira,Maksim,Belov,,,,,,,,,,,,,,,,,Saratov,Nechayev,Nechayev,Nechayev,Komarov,Komarov,Komarov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Katerina,Aleksander,Ermakov,,,,,,,,,,,,,,,,,Smolensk,Antonov,Antonov,Antonov,Kondratiev,Kondratiev,Kondratiev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Galina,Viktor,Sokolova,,,,,,,,,,,,,,,,,St. Petersburg,Rodimtsev,Rodimtsev,Rodimtsev,Konev,Konev,Konev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tamila,Yevgeniy,Titov,,,,,,,,,,,,,,,,,Stavropol Krai,Kovpak,Kovpak,Kovpak,Kornilov,Kornilov,Kornilov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Zinaida,Anatoly,Orlov,,,,,,,,,,,,,,,,,Sverdlovsk,Zaitsev,Zaitsev,Zaitsev,Korolev,Korolev,Korolev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Milana,Evgeni,Makarov,,,,,,,,,,,,,,,,,Tambov,Likhachev,Likhachev,Likhachev,Krylov,Krylov,Krylov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yuliya,Igorr,Kiselev,,,,,,,,,,,,,,,,,Tatarstan,Khabarov,Khabarov,Khabarov,Kulnev,Kulnev,Kulnev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Asya,Yuri,Filatov,,,,,,,,,,,,,,,,,Tomsk,Vinogradov,Vinogradov,Vinogradov,Kutuzov,Kutuzov,Kutuzov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marianna,Yaroslav,Rybakov,,,,,,,,,,,,,,,,,Tula,Kostylev,Kostylev,Kostylev,Kuznetsov,Kuznetsov,Kuznetsov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marika,Sergei,Vasilyev,,,,,,,,,,,,,,,,,Tuva,Meretskov,Meretskov,Meretskov,Laskarina,Laskarina,Laskarina,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Taisiya,Nikolas,Voronin,,,,,,,,,,,,,,,,,Tver,Panteleev,Panteleev,Panteleev,Lebed,Lebed,Lebed,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yaroslava,Boris,Zuev,,,,,,,,,,,,,,,,,Tyumen,Krylov,Krylov,Krylov,Lebedev,Lebedev,Lebedev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mariam,Timofey,Abramson,,,,,,,,,,,,,,,,,Udmurtia,Yakubovsky,Yakubovsky,Yakubovsky,Lemeshevsky,Lemeshevsky,Lemeshevsky,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Viktoria,Kiril,Kondratiev,,,,,,,,,,,,,,,,,Ulyanovsk,Kharitonov,Kharitonov,Kharitonov,Leonov,Leonov,Leonov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Zlata,Antonin,Efimov,,,,,,,,,,,,,,,,,Vladimir,Pushkin,Pushkin,Pushkin,Leontiev,Leontiev,Leontiev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kristina,Levon,Sazonov,,,,,,,,,,,,,,,,,Volgograd,Kuprin,Kuprin,Kuprin,Levashov,Levashov,Levashov,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Liliya,Vlad,Potapov,,,,,,,,,,,,,,,,,Vologda,Golovanov,Golovanov,Golovanov,Likhachev,Likhachev,Likhachev,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Antonina,Roman,Zakharchenko,,,,,,,,,,,,,,,,,Voronezh,Raskova,Raskova,Raskova,Lissitzky,Lissitzky,Lissitzky,,,,,,,,,,,,,,,,,,,
