namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Decima,Crassus,Regilla,Elagabalus,Caracalla,Drusus,,,Veldidena,Danum,Antinopolis,Trier,Arsinoe,Insula Solis,Thessalonica,Cumae,Ammaedara,Parthia,Danum,Saturn's Thunder,Tellus,Proserpina,,,,Bellona's Tenacity,Might of Neptune,Praetoria's Hasta,Cupid,Transitum,,Victoria's Gladius,Sulla,,,,,,,Eratosthenes,,Janus's Courage,Ceres,,
,,,,,,,,,,,,,,,,,,,,,,Drusilla,Decimus,Sabina,Alexander Severus,Elagabalus,Fabius,,,Verona,Glevum,Coptos,Cologne,Dura-Europos,Rosarium Heliogabali,Athens,Pompeii,Sufetula,Barygaza,Glevum,Cupid's Courage,Venus,Janus,,,,Bellona's Audacity,Fortuna's Rage,Fortuna's Storm,Tellus,Strabo,,Volusianus's Courage,Nasica,,,,,,,Ptolemy,,Neptune's Scutum,Faunus,,
,,,,,,,,,,,,,,,,,,,,,,Fabia,Drusus,Tullia,Maximinus Thrax,Alexander Severus,Flavius,,,Vipitenum,Isca Dumnoniorum,Berenice Troglodytica,Mainz,Heliopolis,Insula Circae,Capua,Aquileia,Cirta,Pattanam,Isca Dumnoniorum,Might of Juno,Vesta,Venus,,,,Bellona's Ire,Sol's Command,Metus's Tenacity,Faunus,Vitruvius,,Tutela's Valor,Marius,,,,,,,Aristarchus,,Mars's Chariot,Fortuna,,
,,,,,,,,,,,,,,,,,,,,,,Faustina,Fabius,Valeria,Decius,Diocletian,Fulvius,,,Virunum,Venta Belgarum,Kharga Oasis,Londonium,Oxyrhynchus,Hortus Alcinoi,Pompeii,Brundisium,Capsa,Tissamaharama,Venta Belgarum,Vesta's Hasta,Vulcan,Neptune,,,,Bellona's Storm,Sol's Rage,Vindex's Hasta,Mars,Livy,,Quirinus's Fury,Aetius,,,,,,,Epicurus,,Bacchus's Sagitta,Neptune,,
,,,,,,,,,,,,,,,,,,,,,,Flavia,Flavius,Vipsania,Diocletian,Constantine,Gaius,,,Viturbo Augusta,Durovernum Cantiacorum,Arsinoe,Lugdunum,Siwa,Flumen Stygium,Timgad,Ariminum,Gao,Muziris,Durovernum Cantiacorum,Faunus's Ire,Faunus,Saturn,,,,Bellona's Tempest,Will of Bacchus,Bolt of Quirinus,Saturn,,,Disciplina's Hasta,Stilicho,,,,,,,Diogenes,,Mars's Tenacity,Sol,,
,,,,,,,,,,,,,,,,,,,,,,Fulvia,Gaius,,,,Galerius,,,,,,,,,,,,,,Might of Janus,,,,,,Bellona's Thunder,Vesta's Scutum,Virtus's Pilum,,,,Justitia's Courage,Belisarius,,,,,,,,,Juno's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,Galla,Germanicus,,,,Germanicus,,,,,,,,,,,,,,Wrath of Cupid,,,,,,Victoria's Chariot,Neptune's Tenacity,Tychon's Scutum,,,,Fist of Manius,Aspar,,,,,,,,,Ceres's Scutum,,,
,,,,,,,,,,,,,,,,,,,,,,Julia,Gracchus,,,,Gracchus,,,,,,,,,,,,,,Fist of Mercury,,,,,,Victoria's Courage,Jupiter's Thunder,Bolt of Fides,,,,Praetoria's Sagitta,Theodoric,,,,,,,,,Juno's Courage,,,
,,,,,,,,,,,,,,,,,,,,,,Junia,Hadrianus,,,,Horatius,,,,,,,,,,,,,,Venus's Pugio,,,,,,Victoria's Gladius,Apollo's Spatha,Quirinus's Thunder,,,,Scipio's Valor,Chlorus,,,,,,,,,Tellus's Fire,,,
,,,,,,,,,,,,,,,,,,,,,,Justina,Horatius,,,,Iulius,,,,,,,,,,,,,,Pluto's Audacity,,,,,,Victoria's Command,Tellus's Gladius,Metus's Vigil,,,,Fortuna's Ire,Valentinian,,,,,,,,,Cupid's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,Lavinia,Julius,,,,Junius,,,,,,,,,,,,,,Pluto's Rage,,,,,,Victoria's Fire,Vulcan's Pugio,Might of Pavor,,,,Tychon's Sagitta,Theodosius,,,,,,,,,Venus's Gladius,,,
,,,,,,,,,,,,,,,,,,,,,,Livia,Junius,,,,Licinius,,,,,,,,,,,,,,Bacchus's Gladius,,,,,,Victoria's Vigil,Wrath of Diana,Victoria's Tempest,,,,Concordia's Tenacity,Constantine,,,,,,,,,Fortuna's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,Lucilla,Justus,,,,Livius,,,,,,,,,,,,,,Bolt of Juno,,,,,,Victoria's Sagitta,Janus's Courage,Will of Fortuna,,,,Fist of Honos,Julian,,,,,,,,,Bolt of Diana,,,
,,,,,,,,,,,,,,,,,,,,,,Lucretia,Livius,,,,Lucius,,,,,,,,,,,,,,Voice of Faunus,,,,,,Victoria's Pugio,Jupiter's Pilum,Bolt of Bellona,,,,Justitia's Ire,Paullus,,,,,,,,,Fist of Vesta,,,
,,,,,,,,,,,,,,,,,,,,,,Marcia,Lucius,,,,Mancinus,,,,,,,,,,,,,,Will of Janus,,,,,,Victoria's Pilum,Diana's Vigil,Timor's Hasta,,,,Voice of Quirinus,Lucullus,,,,,,,,,Luna's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,Martina,Magnus,,,,Marcius,,,,,,,,,,,,,,Fist of Cupid,,,,,,Victoria's Spatha,Wrath of Venus,Vindex's Audacity,,,,Tychon's Chariot,Sertorius,,,,,,,,,Janus's Tempest,,,
,,,,,,,,,,,,,,,,,,,,,,Maximilla,Marcellus,,,,Maximus,,,,,,,,,,,,,,Bolt of Vulcan,,,,,,Victoria's Hasta,Fortuna's Valor,Fortuna's Courage,,,,Wrath of Justitia,Vespasian,,,,,,,,,Juno's Storm,,,
,,,,,,,,,,,,,,,,,,,,,,Messalina,Marcus,,,,Metellus,,,,,,,,,,,,,,Might of Apollo,,,,,,Victoria's Scutum,Bolt of Diana,Will of Metus,,,,Manius's Valor,Titus,,,,,,,,,Voice of Jupiter,,,
,,,,,,,,,,,,,,,,,,,,,,Minervina,Maximus,,,,Nero,,,,,,,,,,,,,,Tellus's Valor,,,,,,Victoria's Fury,Fortuna's Courage,Quirinus's Valor,,,,Disciplina's Tempest,Domitian,,,,,,,,,Luna's Audacity,,,
,,,,,,,,,,,,,,,,,,,,,,Octavia,Nero,,,,Nerva,,,,,,,,,,,,,,Ceres's Hasta,,,,,,Victoria's Rage,Venus's Valor,Tychon's Tenacity,,,,Will of Honos,Diocletian,,,,,,,,,Bacchus's Fire,,,
,,,,,,,,,,,,,,,,,,,,,,Paulina,Nerva,,,,Octavius,,,,,,,,,,,,,,Apollo's Courage,,,,,,Victoria's Valor,Pluto's Scutum,Scipio's Sagitta,,,,Mars's Valor,Honorius,,,,,,,,,Cupid's Storm,,,
,,,,,,,,,,,,,,,,,,,,,,Petronia,Octavianus,,,,Paulus,,,,,,,,,,,,,,Apollo's Scutum,,,,,,Victoria's Tenacity,Minerva's Valor,Volusianus's Thunder,,,,Pavor's Audacity,Theodosius,,,,,,,,,Fortuna's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,Plautilla,Paulus,,,,Piso,,,,,,,,,,,,,,Tellus's Spatha,,,,,,Victoria's Audacity,Wrath of Pluto,Tutela's Spatha,,,,Bellona's Command,Alaric,,,,,,,,,Neptune's Fury,,,
,,,,,,,,,,,,,,,,,,,,,,Pomponia,Plinius,,,,Plinius,,,,,,,,,,,,,,Wrath of Tellus,,,,,,Victoria's Ire,Tellus's Thunder,Bellona's Thunder,,,,Fist of Metus,Attila,,,,,,,,,Fist of Cupid,,,
,,,,,,,,,,,,,,,,,,,,,,Porcia,Pompeius,,,,Pompeius,,,,,,,,,,,,,,Might of Fortuna,,,,,,Victoria's Storm,Diana's Gladius,Praetoria's Pugio,,,,Virtus's Thunder,Leo,,,,,,,,,Might of Fortuna,,,
,,,,,,,,,,,,,,,,,,,,,,Prima,Postumus,,,,Postumus,,,,,,,,,,,,,,Jupiter's Tempest,,,,,,Victoria's Tempest,Bacchus's Tenacity,Concordia's Ire,,,,Bolt of Praetoria,Ricimer,,,,,,,,,Cupid's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,Publia,Publius,,,,Quinctilius,,,,,,,,,,,,,,Janus's Tempest,,,,,,Victoria's Thunder,Ceres's Chariot,Quirinus's Tenacity,,,,Voice of Bellona,Odoacer,,,,,,,,,Ceres's Command,,,
,,,,,,,,,,,,,,,,,,,,,,Quinta,Quintus,,,,Regulus,,,,,,,,,,,,,,Fist of Luna,,,,,,Mars's Chariot,Ceres's Sagitta,Honos's Scutum,,,,Victoria's Valor,Justinian,,,,,,,,,Bacchus's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,Regilla,Regulus,,,,Scaevola,,,,,,,,,,,,,,Diana's Vigil,,,,,,Mars's Courage,Wrath of Neptune,Fortuna's Thunder,,,,Quirinus's Thunder,Narses,,,,,,,,,Fortuna's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,Sabina,Scipio,,,,Scipio,,,,,,,,,,,,,,Voice of Jupiter,,,,,,Mars's Gladius,Voice of Venus,Will of Bellona,,,,Felicitas's Gladius,Heraclius,,,,,,,,,Jupiter's Pugio,,,
,,,,,,,,,,,,,,,,,,,,,,Salvia,Septimius,,,,Sulpicius,,,,,,,,,,,,,,Might of Jupiter,,,,,,Mars's Command,Pluto's Chariot,Manius's Chariot,,,,Ultor's Hasta,,,,,,,,,,Vulcan's Courage,,,
,,,,,,,,,,,,,,,,,,,,,,Secunda,Servius,,,,Tacitus,,,,,,,,,,,,,,Sol's Fire,,,,,,Mars's Fire,Mars's Thunder,Timor's Rage,,,,Bellona's Rage,,,,,,,,,,Juno's Spatha,,,
,,,,,,,,,,,,,,,,,,,,,,Septima,Suetonius,,,,Terentius,,,,,,,,,,,,,,Mars's Storm,,,,,,Mars's Vigil,Faunus's Tenacity,Manius's Fury,,,,Volusianus's Pugio,,,,,,,,,,Sol's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,Tertia,Tiberius,,,,Tullius,,,,,,,,,,,,,,Jupiter's Pugio,,,,,,Mars's Sagitta,Saturn's Fire,Virtus's Fire,,,,Justitia's Scutum,,,,,,,,,,Venus's Valor,,,
,,,,,,,,,,,,,,,,,,,,,,Valeria,Virgilius,,,,Valerius,,,,,,,,,,,,,,Vesta's Chariot,,,,,,Mars's Pugio,Venus's Sagitta,Victoria's Thunder,,,,Volusianus's Tenacity,,,,,,,,,,Cupid's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venus's Sagitta,,,,,,Mars's Pilum,Sol's Gladius,Fides's Chariot,,,,Bolt of Justitia,,,,,,,,,,Vulcan's Tempest,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pluto's Scutum,,,,,,Mars's Spatha,Cupid's Ire,Wrath of Fortuna,,,,Pavor's Scutum,,,,,,,,,,Bolt of Faunus,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercury's Courage,,,,,,Mars's Hasta,Jupiter's Hasta,Honos's Rage,,,,Timor's Storm,,,,,,,,,,Venus's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturn's Tenacity,,,,,,Mars's Scutum,Apollo's Courage,Voice of Quirinus,,,,Victoria's Scutum,,,,,,,,,,Will of Mercury,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortuna's Storm,,,,,,Mars's Fury,Neptune's Ire,Might of Praetoria,,,,Wrath of Scipio,,,,,,,,,,Saturn's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulcan's Fury,,,,,,Mars's Rage,Mars's Valor,Volusianus's Fire,,,,Honos's Sagitta,,,,,,,,,,Will of Juno,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fist of Bacchus,,,,,,Mars's Valor,Ceres's Gladius,Fortuna's Command,,,,Justitia's Audacity,,,,,,,,,,Minerva's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venus's Rage,,,,,,Mars's Tenacity,Minerva's Tenacity,Fides's Fury,,,,Praetoria's Tenacity,,,,,,,,,,Wrath of Cupid,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tellus's Fury,,,,,,Mars's Audacity,Bolt of Cupid,Scipio's Hasta,,,,Quirinus's Scutum,,,,,,,,,,Jupiter's Tenacity,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulcan's Gladius,,,,,,Mars's Ire,Neptune's Sagitta,Virtus's Hasta,,,,Honos's Tempest,,,,,,,,,,Janus's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrath of Mars,,,,,,Mars's Storm,Minerva's Fire,Praetoria's Scutum,,,,Fortuna's Vigil,,,,,,,,,,Diana's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesta's Fury,,,,,,Mars's Tempest,Minerva's Ire,Voice of Justitia,,,,Disciplina's Vigil,,,,,,,,,,Diana's Spatha,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesta's Storm,,,,,,Mars's Thunder,Neptune's Audacity,Manius's Spatha,,,,Felicitas's Pilum,,,,,,,,,,Ceres's Audacity,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janus's Sagitta,,,,,,Virtus's Chariot,Vulcan's Scutum,Pavor's Rage,,,,Concordia's Ire,,,,,,,,,,Mercury's Tempest,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter's Gladius,,,,,,Virtus's Courage,Bacchus's Sagitta,Wrath of Timor,,,,Volusianus's Sagitta,,,,,,,,,,Apollo's Pilum,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceres's Valor,,,,,,Virtus's Gladius,Fist of Venus,Fist of Honos,,,,Felicitas's Rage,,,,,,,,,,Janus's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faunus's Thunder,,,,,,Virtus's Command,Ceres's Spatha,Will of Concordia,,,,Tychon's Pugio,,,,,,,,,,Voice of Vesta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janus's Audacity,,,,,,Virtus's Fire,Bacchus's Scutum,Honos's Hasta,,,,Scipio's Thunder,,,,,,,,,,Wrath of Jupiter,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mars's Command,,,,,,Virtus's Vigil,Might of Pluto,Timor's Valor,,,,Fist of Scipio,,,,,,,,,,Bacchus's Spatha,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortuna's Tenacity,,,,,,Virtus's Sagitta,Bolt of Juno,Scipio's Command,,,,Volusianus's Storm,,,,,,,,,,Jupiter's Fire,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pluto's Command,,,,,,Virtus's Pugio,Bacchus's Audacity,Voice of Mars,,,,Felicitas's Fury,,,,,,,,,,Mercury's Audacity,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sol's Hasta,,,,,,Virtus's Pilum,Pluto's Pugio,Manius's Tempest,,,,Manius's Fire,,,,,,,,,,Luna's Command,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturn's Valor,,,,,,Virtus's Spatha,Saturn's Tempest,Mars's Audacity,,,,Might of Scipio,,,,,,,,,,Might of Pluto,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apollo's Hasta,,,,,,Virtus's Hasta,Jupiter's Tenacity,Pavor's Command,,,,Tutela's Ire,,,,,,,,,,Fist of Minerva,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pluto's Hasta,,,,,,Virtus's Scutum,Mars's Ire,Victoria's Spatha,,,,Mars's Tenacity,,,,,,,,,,Tellus's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sol's Fury,,,,,,Virtus's Fury,Ceres's Storm,Justitia's Chariot,,,,Fortuna's Valor,,,,,,,,,,Jupiter's Hasta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pluto's Storm,,,,,,Virtus's Rage,Diana's Spatha,Ultor's Tenacity,,,,Concordia's Thunder,,,,,,,,,,Saturn's Sagitta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesta's Pilum,,,,,,Virtus's Valor,Sol's Pugio,Voice of Manius,,,,Praetoria's Pilum,,,,,,,,,,Luna's Courage,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrath of Jupiter,,,,,,Virtus's Tenacity,Ceres's Audacity,Fortuna's Tempest,,,,Victoria's Tempest,,,,,,,,,,Bolt of Minerva,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venus's Tempest,,,,,,Virtus's Audacity,Faunus's Gladius,Will of Disciplina,,,,Bolt of Volusianus,,,,,,,,,,Tellus's Audacity,,,
