namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Audra,Robert,Anne,Robert,Nassau,Fisher,,,Brescia,Hradec,Karak,Kronborg,Dar al-Kutub al-Misriyya,Peterhof,, Lovrijenac,,Chambord,Zvikov,Woldo,El Cid,El Cid,Verrazzano,William,,Kastane,Zweihander,Chokuto,Bertrand du Guesclin,Vasco da Gama,Lionheart,Kard,,,,Edward,,,,Jabir ibn Hayyan,Columbus,War Scythe,Geraint,Marco Polo,
,,,,,,,,,,,,,,,,,,,,,,Rhiannon,Baldwin,Christina,Otto,Guelph,Freeman,,,Brunico,Norviliškės,Rabad of Hilat,Branwen's,Kumbhalgarh,Himeji,, Rinella,,Alhambra,Loket,Tabarzin,Alfonso ,Bertrand du Guesclin,Diaz,,,Javelin,Sickle,Churi,Beowulf,Columbus,,Bec de Corbin,,,,,,,,Khayyam,Ponce de Leon,Zhanmadao,Galahad,Diaz,
,,,,,,,,,,,,,,,,,,,,,,Arabel,Godfrey,Beatrice,Frederick,Normandy,Hunter,,,Mauterndorf,Spilberk,Soltaniyeh,Bodiam,Tighmert Ksar,Pena,,Frederiksborg,,Takeda ,Spilberk,Tuck,Marshal,Baldwin IV ,James Cook,,,Kilij,Woldo,Cinquedea,Owain,James Cook,,Saif,,,,,,,,Magnus,Cabral,Romphaia,Erec,Cortez,
,,,,,,,,,,,,,,,,,,,,,,Elvina,Alexander,Sancha,Alfonso,Ascania,Harper,,,Scipione,Raudondvaris,Anarkali's Tomb,Kalemegdan,Dar Tifnit,Sanssouci,,Frederiksø,,Belur Math,Kozlov,Tongi,William de Warenne,Étienne de Vignolles,Pizarro,,,Flail,Brownbill,Cleaver,Geraint,Cabot,,Fauchard,,,,,,,,Oresme,Vasco da Gama,Zwiepiken,Bertrand du Guesclin,James Cook,
,,,,,,,,,,,,,,,,,,,,,,Margery,Bartholomew,Berengaria,Ivan,Arpad,Palmer,,,Feldkirch,Raasepori,Dar al-Makhzen,Ljubljana,Al-Abbasi,Catherine,,Herrenchiemsee,,Bat,Marienburg,Hache-gueule,Bertrand du Guesclin,Lamorak,Cortez,,,Nunchaku,Partisan,Club,Jean de Dunois,Marco Polo,,Tulwar,,,,,,,,Scotus,Vespucci,Fokos,Pellinore,Cabot,
,,,,,,,,,,,,,,,,,,,,,,Constance,Hubert,Constance,Eric,Carolingian,Tanner,,,Hrad Veveri,Zvikov,Aljaferia,Dunster,Bahla Oasis,Mir,,Hohensalzburg,,Rambagh ,Narva,Shashqua,Juan de la Cosa,Gaheris,Magellan,,,Shashka,Halberd,Cutlass,Étienne de Vignolles,Zheng He,,Churi,,,,,,,,Theodoric,Cabot,Langmesser,William de Warenne,Corte-Real,
,,,,,,,,,,,,,,,,,,,,,,Adela,Randal,Urraca,Alexander,Hohenlohe,Shepherd,,,Hochosterwitz,Koporye,Almuñécar,Fasil,Deir el-Medina,Edinburgh,,Holy Island,,Umaid Bhawan ,Ivangorod,Spear,Beowulf,Kay,Ponce de Leon,,,Spadroon,Sashka,Dagger,Arturo Prat,Verrazzano,,Firangi,,,,,,,,,Corte-Real,Swordstaff,Joanot Martorell,Columbus,
,,,,,,,,,,,,,,,,,,,,,,Seraphina,Brian,Melisende,Leif,Salian,Faulkner,,,Gropparello,Korela,Beiteddine,Urquhart,Zafra,Amber,,Ios,,Itaipava ,Gdov,Claymore,Hugh de Lacy,Gawain,Corte-Real,,,Takoba,Longspear,Dao,Robert de Beaumont,Corte-Real,,Espada,,,,,,,,,Diaz,Greatclub,Juan de la Cosa,Pizarro,
,,,,,,,,,,,,,,,,,,,,,,Matilda,Alan,Adeliza,Sigurd,Hohenstaufen,Wainwright,,,Gruyères,Kaunas,El Kef,Prague,M'Hamid El Ghizlane Ksar,Prague,,Kastelholm,,Monte,Koporye,Mace,Bartolomeu Dias,Robert de Beaumont,Cabeza de Vaca,,,Zafar,Godendag,Dart,Joanot Martorell,Cabeza de Vaca,,Javelin,,,,,,,,,Magellan,Shashqua,Iwein,Verrazzano,
,,,,,,,,,,,,,,,,,,,,,,Gertrude,Gilbert,Gisela,Harald,Ottonian,Thatcher,,,Festung Hohentwiel,Khotyn,Ribat of Monastir,Comlongon,Karim Khan,Bodiam,,Kizkalesi,,Sam Poh Tong,Alnarp,Pollaxe,Tor,Erec,,,,Battle Axe,Claymore,Dha,Pellinore,,,Tegha,,,,,,,,,,Brownbill,Afonso de Paiva,,
,,,,,,,,,,,,,,,,,,,,,,Cecily,Peter,,,Babenberg,Cooper,,,Werfen,Olavinlinna,Sousse Ribat,Caernarfon,Laferrière,,,Kronborg,,Bogd Khan ,Kastelholm,Blunderbuss,Pellinore,Francisco Pizarro,,,,Mahera,Brandistock,Dirk,Vasco da Gama,,,Mace,,,,,,,,,,Spear,Bors,,
,,,,,,,,,,,,,,,,,,,,,,Rosamund,Reynold,,,Wessex,Spencer,,,Bellinzona,Tvrz,Abode of Chaos,Carcassonne,Taourirt,,,Krusenstiernska,,San Marcos,Raseborg,Longspear,Tristan,Alfonso ,,,,Cleaver,Greatsword,Dussack,Juan de la Cosa,,,Hunga Munga,,,,,,,,,,Sallet,El Cid,,
,,,,,,,,,,,,,,,,,,,,,,Sybil,Elias,,,Bonaparte,Cooper,,,Stenico,Ivangorod,Golconda,Peles,Glaoui,,,Lindisfarne,,San Jose,Hämeenlinna,Spontoon,Baldwin I,Afonso de Paiva,,,,Lochaber,Faix,Epee,Francisco Pizarro,,,Siangham,,,,,,,,,,Lochaber,Owain,,
,,,,,,,,,,,,,,,,,,,,,,Agatha,Bertrand,,,Wittelsbach,Foley,,,Montebello,Trakai,Kalyana,Dunvegan,Timimoun,,,Marmaris,,Belem ,Raasepori,Thracian pick,Bors,Hernán Cortés,,,,Katar,Zulfiqar,Espada,Joan of Arc,,,Kpinga,,,,,,,,,,Zanbato,Gawain,,
,,,,,,,,,,,,,,,,,,,,,,Heloise,Richard,,,Piast,Slater,,,Veste Coburg,Alnarp,Kumbhalgarh,Culross,Tizourgane,,,Mont Saint-Michel,,Shaniwar Wada,Lappeenranta,Nagamaki,Hawkwood,Francisco ,,,,Cestus,Moro Kris,Estoc,Afonso de Paiva,,,Flyssa,,,,,,,,,,Woldo,Gareth,,
,,,,,,,,,,,,,,,,,,,,,,Emmeline,Raymond,,,Merovingian,Chandler,,,Chillon,Harma,Mehrangarh,Peterborough,Tamegroute Zaouia,,,Neuschwanstein,,Chapultepec,Olavinlinna,Wodao,Yvain,Gareth,,,,Qama,Zweilhander,Falchion,Gareth,,,Spear,,,,,,,,,,Makila,Hugh de Lacy,,
,,,,,,,,,,,,,,,,,,,,,,Juliana,Roger,,,Hohenzollern-Sigmaringen,Carpenter,,,Marostica,Vysebrod,Ranthambore,Stirling,Dar al-Handasah,,,Olavinlinna,,Nijo ,Harma,Tepoztopilli,Joan of Arc,Tor,,,,Wakizashi,Urghosh,Fauchard,Humphrey,,,Epee,,,,,,,,,,Claymore,Hawkwood,,
,,,,,,,,,,,,,,,,,,,,,,Isabella,Gervais,,,Palaiologos,Sawyer,,,Arco,Turaida,Jaisalmer,Kilkenny,Ouled Soltane,,,Orava,,Lamanai,Kajaani,Warscythe,Joanot Martorell,Lancelot,,,,Voulge,Hache-gueule,Firangi,Bedevere,,,Sabre,,,,,,,,,,Tabarzin,Hernán Cortés,,
,,,,,,,,,,,,,,,,,,,,,,Katherine,Henry,,,Hanover,Mason,,,Sirmione,Olomouc,Taragarh,Egeskov,Congrès,,,Peles,,Malbork ,Viipuri,Gisarme,Brian Boru,Owain,,,,Sabre,Katzbalger,Flail,Hernán Cortés,,,Francisca,,,,,,,,,,Sickle,William de la Pole,,
,,,,,,,,,,,,,,,,,,,,,,Rowena,Edward,,,,Fuller,,,Fenis,Žinkovy,Bhangarh,Himeji,Rayen,,,Pena,,San Felipe de Barajas,Olomouc,Tizona,Afonso de Paiva,Iwein,,,,Chokuto,Lochaber,Flamberge,Lamorak,,,Shotel,,,,,,,,,,War Hammer,Percival,,
,,,,,,,,,,,,,,,,,,,,,,Alys,Hugh,,,,Bower,,,Gorizia,Narva,Chittorgarh,Gravensteen,Karakorum ,,,Rhodos,,Amber ,Hradec,Pike,Iwein,Vasco da Gama,,,,Flyssa,Swordstaff,Flyssa,William Wallace,,,Shashka,,,,,,,,,,Zweihander,Tor,,
,,,,,,,,,,,,,,,,,,,,,,Aveline,Simon,,,,Drummer,,,Runkelstein,Vysehrad,Junagarh,Culzean,Hulbuk,,,Saaremaa,,Himeji ,Vratislavice,Longbow,Hernán Cortés,William Wallace,,,,Kampilan,Trident,Francisca,Hawkwood,,,Tabar,,,,,,,,,,Sashka,Francisco ,,
,,,,,,,,,,,,,,,,,,,,,,Ysabel,Walter,,,,Hatcher,,,Duino,Karlštejn,Rohtas,Conisbrough,El Djem Amphitheatre,,,San Nicola,,Brimstone Hill,Karlštejn,War Sword,Étienne de Vignolles,Baldwin I,,,,Pata,Shotel,Gauntlet,William de la Pole,,,Nihang,,,,,,,,,,Murgleys,Alfonso ,,
,,,,,,,,,,,,,,,,,,,,,,Fae,Osbert,,,,Tailor,,,Valer,Kuusisto,Bahla,Yester,Gara Medouar,,,Santa Catalina,,Amberd,Žinkovy,Zhanmadao,Lamorak,William de Warenne,,,,Whip,Zhua,Gazza,Gawain,,,Katar,,,,,,,,,,Pike,Robert de Beaumont,,
,,,,,,,,,,,,,,,,,,,,,,Joan,Joscelin,,,,Gardener,,,Rothenburg ob der Tauber,Hämeenlinna,Nakhl,Windsor,Nestor,,,Suomenlinna,,Braganca ,Kaunas,Almogavar,Galahad,Marshal,,,,Spatha,Langmesser,Gladius,Erec,,,Rapier,,,,,,,,,,Nagamaki,Joan of Arc,,
,,,,,,,,,,,,,,,,,,,,,,Sibyl,Louis,,,,Knight,,,Avio,Vysoke Myto,Al Zubarah,Vajdahunyad,Mehrangarh,,,Söderarm,,Puri Jagannath,Trakai,Halberd,Godfrey ,Juan de la Cosa,,,,Kwame,Thracian pick,Hammer,Bors,,,Battle Axe,,,,,,,,,,Warscythe,Jean de Dunois,,
,,,,,,,,,,,,,,,,,,,,,,Elena,Guy,,,,Turner,,,Burg Rötteln,Raseborg,Zafra,Osaka,Ben Youssef Madrasa,,,Trakai,,Miramar ,Raudondvaris,Mangonel,Bedevere,Beowulf,,,,Kama,Zwiepiken,Hatchet,Mordred,,,Tuck,,,,,,,,,,Mace,Bedevere,,
,,,,,,,,,,,,,,,,,,,,,,Felicity,Gilbertus,,,,Cutler,,,Hohenwerfen,Oreshek,Tafilalet,Vaduz,El Kef,,,Usedom,,Miramare ,Norviliškės,Pavise,Kay,Mordred,,,,Tomahawk,Longbow,Hunga Munga,Kay,,,Kampilan,,,,,,,,,,Mangonel,Bartolomeu Dias,,
,,,,,,,,,,,,,,,,,,,,,,Faye,Andrew,,,,Cook,,,Trento,Kajaani,Xorazm Gate,,Shirvanshahs,,,Vadstena,,,Khotyn,Poleaxe,Arturo Prat,Bors,,,,Dagger,Nagamaki,Hwando,Percival,,,Short Sword,,,,,,,,,,Urghosh,Yvain,,
,,,,,,,,,,,,,,,,,,,,,,Maud,Thomas,,,,Fletcher,,,Sabbionara d'Avio,Vratislavice,Rostamabad,,,,,Visingsö,,,Kiev Pechersk Lavra,Sallet,William Wallace,Bartolomeu Dias,,,,Hammer,Warhammer,Ida,Bartolomeu Dias,,,Khopesh,,,,,,,,,,Partisan,Brian Boru,,
,,,,,,,,,,,,,,,,,,,,,,Imogen,Thibaut,,,,Sawyer,,,,,,,,,,,,,,Fokos,Baldwin IV ,Pellinore,,,,Falchion,Blunderbuss,Jamadhar,Godfrey ,,,Maduvu,,,,,,,,,,Scythe,El Cid,,
,,,,,,,,,,,,,,,,,,,,,,Guinevere,Godwin,,,,Carter,,,,,,,,,,,,,,Soliferrum,Francisco Pizarro,Galahad,,,,Siangham,Great Axe,Javelin,Yvain,,,Kris,,,,,,,,,,Yari,Baldwin IV ,,
,,,,,,,,,,,,,,,,,,,,,,Judith,Miles,,,,Miller,,,,,,,,,,,,,,Murgleys,Francisco ,Humphrey,,,,Cinquedea,Tonbogiri,Jian,Francisco ,,,Tomahawk,,,,,,,,,,Moro Kris,Étienne de Vignolles,,
,,,,,,,,,,,,,,,,,,,,,,Brigitte,Rogerius,,,,Mercer,,,,,,,,,,,,,,Katzbalger,Erec,El Cid,,,,Tanto,War Hammer,Kama,Baldwin IV ,,,Shamsir,,,,,,,,,,Godendag,Gaheris,,
,,,,,,,,,,,,,,,,,,,,,,Clarissa,Adam,,,,Smith,,,,,,,,,,,,,,Zanbato,Humphrey,Godfrey ,,,,Slingshot,Kampilan,Kampilan,Galahad,,,Kama,,,,,,,,,,Poleaxe,Francisco Pizarro,,
,,,,,,,,,,,,,,,,,,,,,,Amabel,Richardis,,,,Barker,,,,,,,,,,,,,,Ranseur,Mordred,Joan of Arc,,,,Hwando,Ranseur,Karabela,Marshal,,,Talwar,,,,,,,,,,Gisarme,Baldwin I,,
,,,,,,,,,,,,,,,,,,,,,,Elinor,Amaury,,,,Collier,,,,,,,,,,,,,,Urghosh,Jean de Dunois,Geraint,,,,Gazza,Soliferrum,Kard,El Cid,,,Machete,,,,,,,,,,Katana,Vasco da Gama,,
,,,,,,,,,,,,,,,,,,,,,,Emmaline,David,,,,Fowler,,,,,,,,,,,,,,Zweihammer,El Cid,Yvain,,,,Francisca,Voulge,Kaskara,Lancelot,,,Partisan,,,,,,,,,,Glaive,Arturo Prat,,
,,,,,,,,,,,,,,,,,,,,,,Anabel,Stephen,,,,Barlow,,,,,,,,,,,,,,Lochaber,,,,,,Tabar,War Scythe,Kastane,,,,Spetum,,,,,,,,,,Billhook,,,
,,,,,,,,,,,,,,,,,,,,,,Dorothea,Reginald,,,,Brewer,,,,,,,,,,,,,,Glaive,,,,,,Estoc,Pata,Katar,,,,Chokuto,,,,,,,,,,Greataxe,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moro Kris,,,,,,Urumi,Fokos,Katti,,,,Urumi,,,,,,,,,,Trident,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harpoon,,,,,,Talwar,Tabarzin,Khopesh,,,,Dussack,,,,,,,,,,Shotel,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbalest,,,,,,Sap,Arquebus,Kilij,,,,Tekko,,,,,,,,,,Longspear,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longsword,,,,,,Dha,Murgleys,Kindjal,,,,Morningstar,,,,,,,,,,Brandistock,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandistock,,,,,,Dart,War Sword,Kirpan,,,,Nunchaku,,,,,,,,,,Dadao,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucerne,,,,,,Shotel,Naginata,Kora,,,,Longsword,,,,,,,,,,Zulfiqar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yari,,,,,,Yatagan,Poleaxe,Kpinga,,,,Yatagan,,,,,,,,,,Kusarigama,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pata,,,,,,Dao,Wodao,Kris,,,,Bhuj,,,,,,,,,,Tongi,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billhook,,,,,,Pala,Pavise,Kukri,,,,Hatchet,,,,,,,,,,Warclub,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zulfiqar,,,,,,Jian,Yari,Kwame,,,,Ida,,,,,,,,,,Guisarme,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tachi,,,,,,Kora,Kriegsmesser,Lochaber,,,,Slingshot,,,,,,,,,,Greatsword,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spetum,,,,,,Rapier,Zanbato,Longsword,,,,Dao,,,,,,,,,,War Sword,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warclub,,,,,,Sai,Warclub,Mace,,,,Kindjal,,,,,,,,,,Harlott,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Datanuki,,,,,,Kris,Guisarme,Machete,,,,Mahera,,,,,,,,,,Longbow,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Axe,,,,,,Karabela,Greatclub,Maduvu,,,,Qama,,,,,,,,,,Arquebus,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partisan,,,,,,Dussack,Zhanmadao,Mahera,,,,Sanjak,,,,,,,,,,Harpoon,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nodachi,,,,,,Smatchet,Dadao,Main Gauche,,,,Dart,,,,,,,,,,Nodachi,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faix,,,,,,Xiphos,Tepoztopilli,Morningstar,,,,Cleaver,,,,,,,,,,Ranseur,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harlott,,,,,,Scimitar,Arbalest,Nihang,,,,Baselard,,,,,,,,,,Lucerne,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crossbow,,,,,,Shuriken,Longsword,Nimcha,,,,Chakram,,,,,,,,,,Tuck,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katana,,,,,,Kirpan,Spear,Nunchaku,,,,Sap,,,,,,,,,,Warhammer,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swordstaff,,,,,,Bastard Sword,Almogavar,Pala,,,,Hammer,,,,,,,,,,Kampilan,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greataxe,,,,,,Bardiche,Shashqua,Partisan,,,,Lochaber,,,,,,,,,,Tepoztopilli,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kusarigama,,,,,,Longsword,Nodachi,Pata,,,,Whip,,,,,,,,,,Zhua,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sashka,,,,,,Maduvu,Mangonel,Qaddara,,,,Jamadhar,,,,,,,,,,Lance,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greatclub,,,,,,Baselard,Cinquedea,Qama,,,,Sai,,,,,,,,,,Tachi,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voulge,,,,,,Chakram,Chauve Souris,Rapier,,,,Main Gauche,,,,,,,,,,Halberd,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,War Staff,,,,,,Broadsword,Spontoon,Sabre,,,,Club,,,,,,,,,,Zweihammer,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandao,,,,,,Kindjal,Gisarme,Sai,,,,Flamberge,,,,,,,,,,Pata,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lance,,,,,,Bec de Corbin,Makila,Saif,,,,Pata,,,,,,,,,,Naginata,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,War Scythe,,,,,,Hunga Munga,Zweihammer,Sanjak,,,,Dirk,,,,,,,,,,Wodao,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwiepiken,,,,,,Tuck,Greataxe,Sap,,,,Gladius,,,,,,,,,,Datanuki,,,
