namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Audra,Robert,Anne,Robert,Nassau,Fisher,,,Brescia,Hradec,Karak,Kronborg,Dar al-Kutub al-Misriyya,Peterhof,, Lovrijenac,,Chambord,Zvikov,Woldo,El Cid,El Cid,Verrazzano,William,,,Kastane,Zweihander,Chokuto,Bertrand du Guesclin,Zhua,Vasco da Gama,Lionheart,Kard,,,,Edward,Kriegsmesser,,,,Jabir ibn Hayyan,Al-Farabi,Columbus,War Scythe,Bertrand du Guesclin,Geraint,Marco Polo,
,,,,,,,,,,,,,,,,,,,,,,Rhiannon,Baldwin,Christina,Otto,Guelph,Freeman,,,Brunico,Norviliškės,Rabad of Hilat,Branwen's,Kumbhalgarh,Himeji,, Rinella,,Alhambra,Loket,Tabarzin,Alfonso ,Bertrand du Guesclin,Diaz,,,,Javelin,Sickle,Churi,Beowulf,Partisan,Columbus,,Bec de Corbin,,,,,Tepoztopilli,,,,Khayyam,Buridan,Ponce de Leon,Zhanmadao,Erec,Galahad,Diaz,
,,,,,,,,,,,,,,,,,,,,,,Arabel,Godfrey,Beatrice,Frederick,Normandy,Hunter,,,Mauterndorf,Spilberk,Soltaniyeh,Bodiam,Tighmert Ksar,Pena,,Frederiksborg,,Takeda ,Spilberk,Tuck,Marshal,Baldwin IV ,James Cook,,,,Kilij,Woldo,Cinquedea,Owain,Yari,James Cook,,Saif,,,,,Greataxe,,,,Magnus,Al-Biruni,Cabral,Romphaia,Mordred,Erec,Cortez,
,,,,,,,,,,,,,,,,,,,,,,Elvina,Alexander,Sancha,Alfonso,Ascania,Harper,,,Scipione,Raudondvaris,Anarkali's Tomb,Kalemegdan,Dar Tifnit,Sanssouci,,Frederiksø,,Belur Math,Kozlov,Tongi,William de Warenne,Étienne de Vignolles,Pizarro,,,,Flail,Brownbill,Cleaver,Geraint,Zweihammer,Cabot,,Fauchard,,,,,Wodao,,,,Oresme,Jabir ibn Hayyan,Vasco da Gama,Zwiepiken,William Wallace,Bertrand du Guesclin,James Cook,
,,,,,,,,,,,,,,,,,,,,,,Margery,Bartholomew,Berengaria,Ivan,Arpad,Palmer,,,Feldkirch,Raasepori,Dar al-Makhzen,Ljubljana,Al-Abbasi,Catherine,,Herrenchiemsee,,Bat,Marienburg,Hache-gueule,Bertrand du Guesclin,Lamorak,Cortez,,,,Nunchaku,Partisan,Club,Jean de Dunois,Warclub,Marco Polo,,Tulwar,,,,,Sashka,,,,Scotus,Magnus,Vespucci,Fokos,El Cid,Pellinore,Cabot,
,,,,,,,,,,,,,,,,,,,,,,Constance,Hubert,Constance,Eric,Carolingian,Tanner,,,Hrad Veveri,Zvikov,Aljaferia,Dunster,Bahla Oasis,Mir,,Hohensalzburg,,Rambagh ,Narva,Shashqua,Juan de la Cosa,Gaheris,Magellan,,,,Shashka,Halberd,Cutlass,Étienne de Vignolles,Faix,Zheng He,,Churi,,,,,Murgleys,,,,Theodoric,Aquinas,Cabot,Langmesser,Alfonso ,William de Warenne,Corte-Real,
,,,,,,,,,,,,,,,,,,,,,,Adela,Randal,Urraca,Alexander,Hohenlohe,Shepherd,,,Hochosterwitz,Koporye,Almuñécar,Fasil,Deir el-Medina,Edinburgh,,Holy Island,,Umaid Bhawan ,Ivangorod,Spear,Beowulf,Kay,Ponce de Leon,,,,Spadroon,Sashka,Dagger,Arturo Prat,Greatsword,Verrazzano,,Firangi,,,,,Brownbill,,,,,,Corte-Real,Swordstaff,Iwein,Joanot Martorell,Columbus,
,,,,,,,,,,,,,,,,,,,,,,Seraphina,Brian,Melisende,Leif,Salian,Faulkner,,,Gropparello,Korela,Beiteddine,Urquhart,Zafra,Amber,,Ios,,Itaipava ,Gdov,Claymore,Hugh de Lacy,Gawain,Corte-Real,,,,Takoba,Longspear,Dao,Robert de Beaumont,Ranseur,Corte-Real,,Espada,,,,,Ranseur,,,,,,Diaz,Greatclub,Robert de Beaumont,Juan de la Cosa,Pizarro,
,,,,,,,,,,,,,,,,,,,,,,Matilda,Alan,Adeliza,Sigurd,Hohenstaufen,Wainwright,,,Gruyères,Kaunas,El Kef,Prague,M'Hamid El Ghizlane Ksar,Prague,,Kastelholm,,Monte,Koporye,Mace,Bartolomeu Dias,Robert de Beaumont,Cabeza de Vaca,,,,Zafar,Godendag,Dart,Joanot Martorell,Harpoon,Cabeza de Vaca,,Javelin,,,,,Swordstaff,,,,,,Magellan,Shashqua,Jean de Dunois,Iwein,Verrazzano,
,,,,,,,,,,,,,,,,,,,,,,Gertrude,Gilbert,Gisela,Harald,Ottonian,Thatcher,,,Festung Hohentwiel,Khotyn,Ribat of Monastir,Comlongon,Karim Khan,Bodiam,,Kizkalesi,,Sam Poh Tong,Alnarp,Pollaxe,Tor,Erec,,,,,Battle Axe,Claymore,Dha,Pellinore,Warscythe,,,Tegha,,,,,Harpoon,,,,,,,Brownbill,Juan de la Cosa,Afonso de Paiva,,
,,,,,,,,,,,,,,,,,,,,,,Cecily,Peter,,,Babenberg,Cooper,,,Werfen,Olavinlinna,Sousse Ribat,Caernarfon,Laferrière,,,Kronborg,,Bogd Khan ,Kastelholm,Blunderbuss,Pellinore,Francisco Pizarro,,,,,Mahera,Brandistock,Dirk,Vasco da Gama,Gisarme,,,Mace,,,,,Langmesser,,,,,,,Spear,Joanot Martorell,Bors,,
,,,,,,,,,,,,,,,,,,,,,,Rosamund,Reynold,,,Wessex,Spencer,,,Bellinzona,Tvrz,Abode of Chaos,Carcassonne,Taourirt,,,Krusenstiernska,,San Marcos,Raseborg,Longspear,Tristan,Alfonso ,,,,,Cleaver,Greatsword,Dussack,Juan de la Cosa,Zanbato,,,Hunga Munga,,,,,Katana,,,,,,,Sallet,Kay,El Cid,,
,,,,,,,,,,,,,,,,,,,,,,Sybil,Elias,,,Bonaparte,Cooper,,,Stenico,Ivangorod,Golconda,Peles,Glaoui,,,Lindisfarne,,San Jose,Hämeenlinna,Spontoon,Baldwin I,Afonso de Paiva,,,,,Lochaber,Faix,Epee,Francisco Pizarro,Greataxe,,,Siangham,,,,,Nandao,,,,,,,Lochaber,Brian Boru,Owain,,
,,,,,,,,,,,,,,,,,,,,,,Agatha,Bertrand,,,Wittelsbach,Foley,,,Montebello,Trakai,Kalyana,Dunvegan,Timimoun,,,Marmaris,,Belem ,Raasepori,Thracian pick,Bors,Hernán Cortés,,,,,Katar,Zulfiqar,Espada,Joan of Arc,Mangonel,,,Kpinga,,,,,Dadao,,,,,,,Zanbato,Étienne de Vignolles,Gawain,,
,,,,,,,,,,,,,,,,,,,,,,Heloise,Richard,,,Piast,Slater,,,Veste Coburg,Alnarp,Kumbhalgarh,Culross,Tizourgane,,,Mont Saint-Michel,,Shaniwar Wada,Lappeenranta,Nagamaki,Hawkwood,Francisco ,,,,,Cestus,Moro Kris,Estoc,Afonso de Paiva,War Staff,,,Flyssa,,,,,Pavise,,,,,,,Woldo,Baldwin I,Gareth,,
,,,,,,,,,,,,,,,,,,,,,,Emmeline,Raymond,,,Merovingian,Chandler,,,Chillon,Harma,Mehrangarh,Peterborough,Tamegroute Zaouia,,,Neuschwanstein,,Chapultepec,Olavinlinna,Wodao,Yvain,Gareth,,,,,Qama,Zweilhander,Falchion,Gareth,Scythe,,,Spear,,,,,Brandistock,,,,,,,Makila,Vasco da Gama,Hugh de Lacy,,
,,,,,,,,,,,,,,,,,,,,,,Juliana,Roger,,,Hohenzollern-Sigmaringen,Carpenter,,,Marostica,Vysebrod,Ranthambore,Stirling,Dar al-Handasah,,,Olavinlinna,,Nijo ,Harma,Tepoztopilli,Joan of Arc,Tor,,,,,Wakizashi,Urghosh,Fauchard,Humphrey,Makila,,,Epee,,,,,Glaive,,,,,,,Claymore,Tristan,Hawkwood,,
,,,,,,,,,,,,,,,,,,,,,,Isabella,Gervais,,,Palaiologos,Sawyer,,,Arco,Turaida,Jaisalmer,Kilkenny,Ouled Soltane,,,Orava,,Lamanai,Kajaani,Warscythe,Joanot Martorell,Lancelot,,,,,Voulge,Hache-gueule,Firangi,Bedevere,Pollaxe,,,Sabre,,,,,Nagamaki,,,,,,,Tabarzin,Afonso de Paiva,Hernán Cortés,,
,,,,,,,,,,,,,,,,,,,,,,Katherine,Henry,,,Hanover,Mason,,,Sirmione,Olomouc,Taragarh,Egeskov,Congrès,,,Peles,,Malbork ,Viipuri,Gisarme,Brian Boru,Owain,,,,,Sabre,Katzbalger,Flail,Hernán Cortés,Nandao,,,Francisca,,,,,Almogavar,,,,,,,Sickle,Gareth,William de la Pole,,
,,,,,,,,,,,,,,,,,,,,,,Rowena,Edward,,,,Fuller,,,Fenis,Žinkovy,Bhangarh,Himeji,Rayen,,,Pena,,San Felipe de Barajas,Olomouc,Tizona,Afonso de Paiva,Iwein,,,,,Chokuto,Lochaber,Flamberge,Lamorak,Glaive,,,Shotel,,,,,Lance,,,,,,,War Hammer,William de Warenne,Percival,,
,,,,,,,,,,,,,,,,,,,,,,Alys,Hugh,,,,Bower,,,Gorizia,Narva,Chittorgarh,Gravensteen,Karakorum ,,,Rhodos,,Amber ,Hradec,Pike,Iwein,Vasco da Gama,,,,,Flyssa,Swordstaff,Flyssa,William Wallace,Kampilan,,,Shashka,,,,,Arquebus,,,,,,,Zweihander,Hernán Cortés,Tor,,
,,,,,,,,,,,,,,,,,,,,,,Aveline,Simon,,,,Drummer,,,Runkelstein,Vysehrad,Junagarh,Culzean,Hulbuk,,,Saaremaa,,Himeji ,Vratislavice,Longbow,Hernán Cortés,William Wallace,,,,,Kampilan,Trident,Francisca,Hawkwood,Zwiepiken,,,Tabar,,,,,Zulfiqar,,,,,,,Sashka,Bedevere,Francisco ,,
,,,,,,,,,,,,,,,,,,,,,,Ysabel,Walter,,,,Hatcher,,,Duino,Karlštejn,Rohtas,Conisbrough,El Djem Amphitheatre,,,San Nicola,,Brimstone Hill,Karlštejn,War Sword,Étienne de Vignolles,Baldwin I,,,,,Pata,Shotel,Gauntlet,William de la Pole,Spetum,,,Nihang,,,,,Lochaber,,,,,,,Murgleys,Francisco ,Alfonso ,,
,,,,,,,,,,,,,,,,,,,,,,Fae,Osbert,,,,Tailor,,,Valer,Kuusisto,Bahla,Yester,Gara Medouar,,,Santa Catalina,,Amberd,Žinkovy,Zhanmadao,Lamorak,William de Warenne,,,,,Whip,Zhua,Gazza,Gawain,Nagamaki,,,Katar,,,,,Nodachi,,,,,,,Pike,El Cid,Robert de Beaumont,,
,,,,,,,,,,,,,,,,,,,,,,Joan,Joscelin,,,,Gardener,,,Rothenburg ob der Tauber,Hämeenlinna,Nakhl,Windsor,Nestor,,,Suomenlinna,,Braganca ,Kaunas,Almogavar,Galahad,Marshal,,,,,Spatha,Langmesser,Gladius,Erec,Kusarigama,,,Rapier,,,,,Pike,,,,,,,Nagamaki,Geraint,Joan of Arc,,
,,,,,,,,,,,,,,,,,,,,,,Sibyl,Louis,,,,Knight,,,Avio,Vysoke Myto,Al Zubarah,Vajdahunyad,Mehrangarh,,,Söderarm,,Puri Jagannath,Trakai,Halberd,Godfrey ,Juan de la Cosa,,,,,Kwame,Thracian pick,Hammer,Bors,Trident,,,Battle Axe,,,,,Gisarme,,,,,,,Warscythe,Humphrey,Jean de Dunois,,
,,,,,,,,,,,,,,,,,,,,,,Elena,Guy,,,,Turner,,,Burg Rötteln,Raseborg,Zafra,Osaka,Ben Youssef Madrasa,,,Trakai,,Miramar ,Raudondvaris,Mangonel,Bedevere,Beowulf,,,,,Kama,Zwiepiken,Hatchet,Mordred,Tizona,,,Tuck,,,,,Greatsword,,,,,,,Mace,Gaheris,Bedevere,,
,,,,,,,,,,,,,,,,,,,,,,Felicity,Gilbertus,,,,Cutler,,,Hohenwerfen,Oreshek,Tafilalet,Vaduz,El Kef,,,Usedom,,Miramare ,Norviliškės,Pavise,Kay,Mordred,,,,,Tomahawk,Longbow,Hunga Munga,Kay,Moro Kris,,,Kampilan,,,,,Crossbow,,,,,,,Mangonel,Hugh de Lacy,Bartolomeu Dias,,
,,,,,,,,,,,,,,,,,,,,,,Faye,Andrew,,,,Cook,,,Trento,Kajaani,Xorazm Gate,,Shirvanshahs,,,Vadstena,,,Khotyn,Poleaxe,Arturo Prat,Bors,,,,,Dagger,Nagamaki,Hwando,Percival,Lochaber,,,Short Sword,,,,,Woldo,,,,,,,Urghosh,Bartolomeu Dias,Yvain,,
,,,,,,,,,,,,,,,,,,,,,,Maud,Thomas,,,,Fletcher,,,Sabbionara d'Avio,Vratislavice,Rostamabad,,,,,Visingsö,,,Kiev Pechersk Lavra,Sallet,William Wallace,Bartolomeu Dias,,,,,Hammer,Warhammer,Ida,Bartolomeu Dias,Tachi,,,Khopesh,,,,,Tuck,,,,,,,Partisan,Beowulf,Brian Boru,,
,,,,,,,,,,,,,,,,,,,,,,Imogen,Thibaut,,,,Sawyer,,,,,,,,,,,,,,Fokos,Baldwin IV ,Pellinore,,,,,Falchion,Blunderbuss,Jamadhar,Godfrey ,Zulfiqar,,,Maduvu,,,,,Zweihammer,,,,,,,Scythe,Godfrey ,El Cid,,
,,,,,,,,,,,,,,,,,,,,,,Guinevere,Godwin,,,,Carter,,,,,,,,,,,,,,Soliferrum,Francisco Pizarro,Galahad,,,,,Siangham,Great Axe,Javelin,Yvain,Longspear,,,Kris,,,,,Lucerne,,,,,,,Yari,Pellinore,Baldwin IV ,,
,,,,,,,,,,,,,,,,,,,,,,Judith,Miles,,,,Miller,,,,,,,,,,,,,,Murgleys,Francisco ,Humphrey,,,,,Cinquedea,Tonbogiri,Jian,Francisco ,Datanuki,,,Tomahawk,,,,,Longspear,,,,,,,Moro Kris,Francisco Pizarro,Étienne de Vignolles,,
,,,,,,,,,,,,,,,,,,,,,,Brigitte,Rogerius,,,,Mercer,,,,,,,,,,,,,,Katzbalger,Erec,El Cid,,,,,Tanto,War Hammer,Kama,Baldwin IV ,Sickle,,,Shamsir,,,,,Zwiepiken,,,,,,,Godendag,Percival,Gaheris,,
,,,,,,,,,,,,,,,,,,,,,,Clarissa,Adam,,,,Smith,,,,,,,,,,,,,,Zanbato,Humphrey,Godfrey ,,,,,Slingshot,Kampilan,Kampilan,Galahad,Zweihander,,,Kama,,,,,Sickle,,,,,,,Poleaxe,Marshal,Francisco Pizarro,,
,,,,,,,,,,,,,,,,,,,,,,Amabel,Richardis,,,,Barker,,,,,,,,,,,,,,Ranseur,Mordred,Joan of Arc,,,,,Hwando,Ranseur,Karabela,Marshal,Warhammer,,,Talwar,,,,,Sallet,,,,,,,Gisarme,Owain,Baldwin I,,
,,,,,,,,,,,,,,,,,,,,,,Elinor,Amaury,,,,Collier,,,,,,,,,,,,,,Urghosh,Jean de Dunois,Geraint,,,,,Gazza,Soliferrum,Kard,El Cid,War Scythe,,,Machete,,,,,Tongi,,,,,,,Katana,Yvain,Vasco da Gama,,
,,,,,,,,,,,,,,,,,,,,,,Emmaline,David,,,,Fowler,,,,,,,,,,,,,,Zweihammer,El Cid,Yvain,,,,,Francisca,Voulge,Kaskara,Lancelot,Longsword,,,Partisan,,,,,Zhua,,,,,,,Glaive,Gawain,Arturo Prat,,
,,,,,,,,,,,,,,,,,,,,,,Anabel,Stephen,,,,Barlow,,,,,,,,,,,,,,Lochaber,,,,,,,Tabar,War Scythe,Kastane,,Thracian pick,,,Spetum,,,,,Shotel,,,,,,,Billhook,,,,
,,,,,,,,,,,,,,,,,,,,,,Dorothea,Reginald,,,,Brewer,,,,,,,,,,,,,,Glaive,,,,,,,Estoc,Pata,Katar,,Urghosh,,,Chokuto,,,,,Zweilhander,,,,,,,Greataxe,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moro Kris,,,,,,,Urumi,Fokos,Katti,,Soliferrum,,,Urumi,,,,,Chauve Souris,,,,,,,Trident,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harpoon,,,,,,,Talwar,Tabarzin,Khopesh,,Arbalest,,,Dussack,,,,,Poleaxe,,,,,,,Shotel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbalest,,,,,,,Sap,Arquebus,Kilij,,Pata,,,Tekko,,,,,Fokos,,,,,,,Longspear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longsword,,,,,,,Dha,Murgleys,Kindjal,,Harlott,,,Morningstar,,,,,Datanuki,,,,,,,Brandistock,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandistock,,,,,,,Dart,War Sword,Kirpan,,Voulge,,,Nunchaku,,,,,Scythe,,,,,,,Dadao,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucerne,,,,,,,Shotel,Naginata,Kora,,Greatclub,,,Longsword,,,,,Tabarzin,,,,,,,Zulfiqar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yari,,,,,,,Yatagan,Poleaxe,Kpinga,,Swordstaff,,,Yatagan,,,,,Bardiche,,,,,,,Kusarigama,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pata,,,,,,,Dao,Wodao,Kris,,Blunderbuss,,,Bhuj,,,,,Tizona,,,,,,,Tongi,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billhook,,,,,,,Pala,Pavise,Kukri,,Brownbill,,,Hatchet,,,,,Naginata,,,,,,,Warclub,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zulfiqar,,,,,,,Jian,Yari,Kwame,,Godendag,,,Ida,,,,,Zweihander,,,,,,,Guisarme,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tachi,,,,,,,Kora,Kriegsmesser,Lochaber,,Tuck,,,Slingshot,,,,,Billhook,,,,,,,Greatsword,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spetum,,,,,,,Rapier,Zanbato,Longsword,,Brandistock,,,Dao,,,,,Trident,,,,,,,War Sword,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warclub,,,,,,,Sai,Warclub,Mace,,Naginata,,,Kindjal,,,,,Katzbalger,,,,,,,Harlott,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Datanuki,,,,,,,Kris,Guisarme,Machete,,Hache-gueule,,,Mahera,,,,,War Staff,,,,,,,Longbow,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Axe,,,,,,,Karabela,Greatclub,Maduvu,,Great Axe,,,Qama,,,,,Makila,,,,,,,Arquebus,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partisan,,,,,,,Dussack,Zhanmadao,Mahera,,Sallet,,,Sanjak,,,,,Voulge,,,,,,,Harpoon,,,,
