namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_second_names,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Audrey,Cottle,Demetrius,,,,,,Jupiter,,,,,,,,,,,Aurora,Aurora,Aurora,Aurora,Artemis,Artemis,Artemis,Pacifica,Pacifica,Pacifica,Pacifica,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Brittany,Dawson,DiMarco,,,,,,Lethe,,,,,,,,,,,Blackbird,Blackbird,Blackbird,Blackbird,Artemisia,Artemisia,Artemisia,Triton,Triton,Triton,Triton,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cally,Declan,Dixon,,,,,,Mars,,,,,,,,,,,Canopus,Canopus,Canopus,Canopus,Atalanta,Atalanta,Atalanta,Columbia,Columbia,Columbia,Columbia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Caprica,Demetrius,Doral,,,,,,Yggdrasil,,,,,,,,,,,Capricorn,Capricorn,Capricorn,Capricorn,Atlas,Atlas,Atlas,Raven,Raven,Raven,Raven,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Christina,DiMarco,Dualla,,,,,,Pandora,,,,,,,,,,,Carina,Carina,Carina,Carina,Bellona,Bellona,Bellona,Athena,Athena,Athena,Athena,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Clarice,Dixon,Ellen,,,,,,Deneb,,,,,,,,,,,Cassiopeia,Cassiopeia,Cassiopeia,Cassiopeia,Calliope,Calliope,Calliope,Themistocles,Themistocles,Themistocles,Themistocles,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Connie,Doc,Fisk,,,,,,Draconis,,,,,,,,,,,Celestia,Celestia,Celestia,Celestia,Calypso,Calypso,Calypso,Prometheus,Prometheus,Prometheus,Prometheus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Daisy,Donnelly,Gaeta,,,,,,Leonis,,,,,,,,,,,Centaur,Centaur,Centaur,Centaur,Cancer,Cancer,Cancer,Osiris,Osiris,Osiris,Osiris,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Delaney,Doral,Gage,,,,,,Polaris,,,,,,,,,,,Cetus,Cetus,Cetus,Cetus,Capricorn,Capricorn,Capricorn,Acheron,Acheron,Acheron,Acheron,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Diana,Dualla,Geary,,,,,,Trappist,,,,,,,,,,,Challenger,Challenger,Challenger,Challenger,Castor,Castor,Castor,Vanguard,Vanguard,Vanguard,Vanguard,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Diane,Duck,Hamish,,,,,,Nefertiti,,,,,,,,,,,Chimera,Chimera,Chimera,Chimera,Centaurus,Centaurus,Centaurus,Triton,Triton,Triton,Triton,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ellen,Dwayne,Hammer,,,,,,Rhea,,,,,,,,,,,Cobra,Cobra,Cobra,Cobra,Charon,Charon,Charon,Solaria,Solaria,Solaria,Solaria,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elosha,Eick,Helfer,,,,,,Titan,,,,,,,,,,,Colossus,Colossus,Colossus,Colossus,Chimera,Chimera,Chimera,Cerberus,Cerberus,Cerberus,Cerberus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Erika,Felix,Holt,,,,,,Zosma,,,,,,,,,,,Coma Berenices,Coma Berenices,Coma Berenices,Coma Berenices,Circe,Circe,Circe,Jupiter,Jupiter,Jupiter,Jupiter,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Erin,Fisk,Hoshi,,,,,,Sirius,,,,,,,,,,,Comet,Comet,Comet,Comet,Daedalus,Daedalus,Daedalus,Argos,Argos,Argos,Argos,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gail,Fisk,Jaffe,,,,,,Hera,,,,,,,,,,,Corvus,Corvus,Corvus,Corvus,Demeter,Demeter,Demeter,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Giana,Gaeta,Keefer,,,,,,Kobol,,,,,,,,,,,Cosmos,Cosmos,Cosmos,Cosmos,Draco,Draco,Draco,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gloria,Gaeta,Kelly,,,,,,Orpheus,,,,,,,,,,,Crater,Crater,Crater,Crater,Electra,Electra,Electra,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Helena,Gaeta,Kendra,,,,,,Scorpia,,,,,,,,,,,Cyclone,Cyclone,Cyclone,Cyclone,Elysium,Elysium,Elysium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janice,Gage,Lacy,,,,,,Sisyphus,,,,,,,,,,,Cygnus,Cygnus,Cygnus,Cygnus,Eros,Eros,Eros,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jill,Gage,Laird,,,,,,Zeta,,,,,,,,,,,Daedalus,Daedalus,Daedalus,Daedalus,Furies' Wrath,Furies' Wrath,Furies' Wrath,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Josie,Gaius,Lampkin,,,,,,Leda,,,,,,,,,,,Defiant,Defiant,Defiant,Defiant,Gaia,Gaia,Gaia,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Julia,Galen,Leoben,,,,,,Ganymede,,,,,,,,,,,Delphinus,Delphinus,Delphinus,Delphinus,Galatea,Galatea,Galatea,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kacey,Geary,Lorne,,,,,,Endor,,,,,,,,,,,Destiny,Destiny,Destiny,Destiny,Gemini,Gemini,Gemini,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kacey,Grimes,McQueen,,,,,,Arkab,,,,,,,,,,,Draco,Draco,Draco,Draco,Gorgon,Gorgon,Gorgon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kali,Grimes,Morell,,,,,,Neptune,,,,,,,,,,,Dragonfly,Dragonfly,Dragonfly,Dragonfly,Hades,Hades,Hades,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kali,Hamish,Paul,,,,,,Calypso,,,,,,,,,,,Eclipse,Eclipse,Eclipse,Eclipse,Hecate,Hecate,Hecate,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kara,Hammer,Pike,,,,,,Antares,,,,,,,,,,,Elysium,Elysium,Elysium,Elysium,Helios,Helios,Helios,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kat,Hanson,Price,,,,,,Delphi,,,,,,,,,,,Enterprise,Enterprise,Enterprise,Enterprise,Hera,Hera,Hera,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kate,Hatfield,Roslin,,,,,,Abydos,,,,,,,,,,,Equinox,Equinox,Equinox,Equinox,Hera's Might,Hera's Might,Hera's Might,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kendra,Helfer,Seelix,,,,,,Dagon,,,,,,,,,,,Eridanus,Eridanus,Eridanus,Eridanus,Hydra,Hydra,Hydra,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kyra,Helmsman,Shaffer,,,,,,Sphinx,,,,,,,,,,,Excalibur,Excalibur,Excalibur,Excalibur,Hydra's Fury,Hydra's Fury,Hydra's Fury,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lacy,Helo,Shaw,,,,,,Helios,,,,,,,,,,,Explorer,Explorer,Explorer,Explorer,Hyperion,Hyperion,Hyperion,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lana,Holt,Six,,,,,,Venus,,,,,,,,,,,Falcon,Falcon,Falcon,Falcon,Icarus,Icarus,Icarus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Laura,Hoshi,Swersky,,,,,,Wolf,,,,,,,,,,,Firefly,Firefly,Firefly,Firefly,Iliad,Iliad,Iliad,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Laura,Hoshi,Thorne,,,,,,Uranus,,,,,,,,,,,Fornax,Fornax,Fornax,Fornax,Io,Io,Io,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Layla,Jaffe,Thrace,,,,,,Hibernia,,,,,,,,,,,Fury,Fury,Fury,Fury,Janus,Janus,Janus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Layne,Jammer,Tigh,,,,,,Aerilon,,,,,,,,,,,Galaxy,Galaxy,Galaxy,Galaxy,Jason,Jason,Jason,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Liana,Joe,Tony,,,,,,Troy,,,,,,,,,,,Gemini,Gemini,Gemini,Gemini,Keres,Keres,Keres,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lida,Joseph,Tyrol,,,,,,Aquaria,,,,,,,,,,,Ghosthawk,Ghosthawk,Ghosthawk,Ghosthawk,Laocoon,Laocoon,Laocoon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lois,Jurgen,Wallace,,,,,,Eridanus,,,,,,,,,,,Guardian,Guardian,Guardian,Guardian,Leo,Leo,Leo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lucy,Kacey,Wayne,,,,,,Medusa,,,,,,,,,,,Havoc,Havoc,Havoc,Havoc,Leviathan,Leviathan,Leviathan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lucy,Karl,West,,,,,,Icarus,,,,,,,,,,,Helios,Helios,Helios,Helios,Libra,Libra,Libra,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lucy,Keefer,Wilkins,,,,,,Ishtar,,,,,,,,,,,Hercules,Hercules,Hercules,Hercules,Medea,Medea,Medea,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Margaret,Kelly,Zarek,,,,,,Stardust,,,,,,,,,,,Hermes,Hermes,Hermes,Hermes,Medusa,Medusa,Medusa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marion,Lacy,,,,,,,Tauron,,,,,,,,,,,Horizon,Horizon,Horizon,Horizon,Minerva,Minerva,Minerva,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Martha,Laird,,,,,,,Hyperion,,,,,,,,,,,Horologium,Horologium,Horologium,Horologium,Morpheus,Morpheus,Morpheus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Maya,Laird,,,,,,,Libra,,,,,,,,,,,Hurricane,Hurricane,Hurricane,Hurricane,Naiad,Naiad,Naiad,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Maya,Lampkin,,,,,,,Keplar,,,,,,,,,,,Hydra,Hydra,Hydra,Hydra,Nemesis,Nemesis,Nemesis,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Maya,Lee,,,,,,,Ptolemy,,,,,,,,,,,Hyperion,Hyperion,Hyperion,Hyperion,Nereus,Nereus,Nereus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mia,Leoben,,,,,,,Tarantula,,,,,,,,,,,Indus,Indus,Indus,Indus,Oceanid,Oceanid,Oceanid,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Michelle,Lorne,,,,,,,Zypheria,,,,,,,,,,,Infinity,Infinity,Infinity,Infinity,Oceanus,Oceanus,Oceanus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Misty,Louis,,,,,,,Virgon,,,,,,,,,,,Invictus,Invictus,Invictus,Invictus,Odyssey,Odyssey,Odyssey,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Molly,Mathias,,,,,,,Eden,,,,,,,,,,,Ion,Ion,Ion,Ion,Orion,Orion,Orion,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nadine,McQueen,,,,,,,Elysium,,,,,,,,,,,Justice,Justice,Justice,Justice,Pallas,Pallas,Pallas,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Natalie,Meier,,,,,,,Io,,,,,,,,,,,Leo,Leo,Leo,Leo,Pandora,Pandora,Pandora,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nellie,Morell,,,,,,,Gorgon,,,,,,,,,,,Lepus,Lepus,Lepus,Lepus,Perseus,Perseus,Perseus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Paige,Narcho,,,,,,,Galatea,,,,,,,,,,,Leviathan,Leviathan,Leviathan,Leviathan,Phobos,Phobos,Phobos,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pat,Paul,,,,,,,Vulcan,,,,,,,,,,,Liberation,Liberation,Liberation,Liberation,Phoenix,Phoenix,Phoenix,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Priyah,Pike,,,,,,,Phobos,,,,,,,,,,,Liberty,Liberty,Liberty,Liberty,Polyphemus,Polyphemus,Polyphemus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rebecca,Pike,,,,,,,Mercury,,,,,,,,,,,Lightning,Lightning,Lightning,Lightning,Poseidon,Poseidon,Poseidon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rebecca,Price,,,,,,,Elara,,,,,,,,,,,Lupus,Lupus,Lupus,Lupus,Prometheus,Prometheus,Prometheus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Regina,Reynolds,,,,,,,Valhalla,,,,,,,,,,,Lynx,Lynx,Lynx,Lynx,Proteus,Proteus,Proteus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rhea,Robert,,,,,,,Nirvana,,,,,,,,,,,Lyra,Lyra,Lyra,Lyra,Pyrrha,Pyrrha,Pyrrha,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rika,Roslin,,,,,,,Erebus,,,,,,,,,,,Mensa,Mensa,Mensa,Mensa,Quirinus,Quirinus,Quirinus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rose,Sam,,,,,,,Zephyr,,,,,,,,,,,Mercury,Mercury,Mercury,Mercury,Ranger,Ranger,Ranger,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Roxy,Samuel,,,,,,,Wega,,,,,,,,,,,Meteor,Meteor,Meteor,Meteor,Rhea,Rhea,Rhea,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sal,Saul,,,,,,,Ataraxia,,,,,,,,,,,Millennium,Millennium,Millennium,Millennium,Sagittarius,Sagittarius,Sagittarius,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samantha,Seelix,,,,,,,Pythia,,,,,,,,,,,Monoceros,Monoceros,Monoceros,Monoceros,Scipio,Scipio,Scipio,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sandra,Shaffer,,,,,,,Kalliope,,,,,,,,,,,Musca,Musca,Musca,Musca,Scorpio,Scorpio,Scorpio,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sarah,Shaw,,,,,,,Krypton,,,,,,,,,,,Nebula,Nebula,Nebula,Nebula,Scylla,Scylla,Scylla,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Seelix,Socinus,,,,,,,Ceti Alpha,,,,,,,,,,,Nemesis,Nemesis,Nemesis,Nemesis,Selena,Selena,Selena,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sharon,Socinus,,,,,,,Sagittaron,,,,,,,,,,,Nightfall,Nightfall,Nightfall,Nightfall,Selene,Selene,Selene,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sheila,Spencer,,,,,,,Zygote,,,,,,,,,,,Nightshade,Nightshade,Nightshade,Nightshade,Siren,Siren,Siren,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shelly,Stewart,,,,,,,Hestia,,,,,,,,,,,Nimbus,Nimbus,Nimbus,Nimbus,Sphinx,Sphinx,Sphinx,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shevon,Swersky,,,,,,,Zeus,,,,,,,,,,,Norma,Norma,Norma,Norma,Tethys,Tethys,Tethys,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Siana,Thorne,,,,,,,Syzygy,,,,,,,,,,,Nova,Nova,Nova,Nova,Theseus,Theseus,Theseus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sirella,Tigh,,,,,,,Jotunheim,,,,,,,,,,,Octans,Octans,Octans,Octans,Thetis,Thetis,Thetis,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Staci,Tom,,,,,,,Prometheus,,,,,,,,,,,Odyssey,Odyssey,Odyssey,Odyssey,Thunderbird,Thunderbird,Thunderbird,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sue,Tony,,,,,,,Janus,,,,,,,,,,,Omega,Omega,Omega,Omega,Titan,Titan,Titan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sylvia,Tory,,,,,,,Proteus,,,,,,,,,,,Onyx,Onyx,Onyx,Onyx,Triton,Triton,Triton,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tara,Tyrol,,,,,,,Xanthe,,,,,,,,,,,Ophiuchus,Ophiuchus,Ophiuchus,Ophiuchus,Tyche,Tyche,Tyche,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tessa,Wallace,,,,,,,Canceron,,,,,,,,,,,Orion,Orion,Orion,Orion,Ulysses,Ulysses,Ulysses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tory,Wayne,,,,,,,Zubenelgenubi,,,,,,,,,,,Orion's Belt,Orion's Belt,Orion's Belt,Orion's Belt,Vega,Vega,Vega,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tricia,West,,,,,,,Picon,,,,,,,,,,,Osiris,Osiris,Osiris,Osiris,Vesta,Vesta,Vesta,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yolanda,Wilkins,,,,,,,Belenus,,,,,,,,,,,Pallas,Pallas,Pallas,Pallas,Virgo,Virgo,Virgo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yolanda,William,,,,,,,Thebe,,,,,,,,,,,Pandora,Pandora,Pandora,Pandora,Wraith,Wraith,Wraith,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Zoe,Zak,,,,,,,Solitude,,,,,,,,,,,Paragon,Paragon,Paragon,Paragon,Xerxes,Xerxes,Xerxes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Zoe,Zarek,,,,,,,Zircon,,,,,,,,,,,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Yara,Yara,Yara,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldek,,,,,,,,,,,Patriot,Patriot,Patriot,Patriot,Zeno,Zeno,Zeno,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oort,,,,,,,,,,,Pavo,Pavo,Pavo,Pavo,Zephyr,Zephyr,Zephyr,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,,,,,,,,,,Pegasus,Pegasus,Pegasus,Pegasus,Zeus,Zeus,Zeus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesta,,,,,,,,,,,Perseus,Perseus,Perseus,Perseus,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thetis,,,,,,,,,,,Phantom,Phantom,Phantom,Phantom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vega,,,,,,,,,,,Phoenix,Phoenix,Phoenix,Phoenix,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asherah,,,,,,,,,,,Pictor,Pictor,Pictor,Pictor,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zenith,,,,,,,,,,,Pioneer,Pioneer,Pioneer,Pioneer,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygomalas,,,,,,,,,,,Pisces,Pisces,Pisces,Pisces,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia,,,,,,,,,,,Poseidon,Poseidon,Poseidon,Poseidon,,,,,,,,,,,,,,,,,,,,,,
