namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Amina,Ahmed,Sawdah,Issa,al-Faiz,Arian,,,,,,,,,Mosul,,,,,Al-Farhan,Al-Muwaffaq al-Shirazi,Al-Nasir al-Haqq,Khabur,Almoravid,Ararat,Ararat,Abbas,Talal,Abd al-Rahman ibn Awf,Al-Nasir Muhammad,Al-Bakr,Ibn Khaldun,Samanid,Jinnah,Namir,,,Seljuk,Al Nahyan,,,,Ibn Khaldun,Amin,Shatt al-Arab,Al-Zarqawi,Al-Mu'tazz Billah,Al-Muwaffaq al-Shirazi,Marbat,
,,,,,,,,,,,,,,,,,,,,,,Amira,Ahsan,Umm al-Masakin,Khalid,al-Fadl,Asfour,,,,,,,,,Aleppo,,,,,Al-Qahtani,Al-Qadir Billah,Al-Mustazhir Billah II,Karun,Rashidun,Hermon,Hermon,Fatima,Abdullah,Qutaybah ibn Muslim,Al-Musta'sim,Al-Hariri,Al-Baitar,Tahirid,Al-Rashid,Asad,,,Ottoman,al-Assad,,,,Al-Baitar,Al-Baitar,Orontes,Al-Kassim,Al-Muktafi,Al-Qadir Billah,Desert Orchid,
,,,,,,,,,,,,,,,,,,,,,,Ansa,Ajmal,Umm Habibah,Khalid,al-Hadi,Asghar,,,,,,,,,Damascus,,,,,Al-Faisal,Al-Mu'tadid Billah II,Ali ibn Abi Talib,Shatt al-Arab,Idrisid,Lebanon,Lebanon,Al-Rashid,al-Assad,Malik ibn Nuwayrah,Al-Mutadid Billah,Al-Faisal,Zewail,Saffarid,Assad,Nimr,,,Samanid,Al-Mansour,,,,Zewail,Atala,Al-Mukhaizna,Al-Qaddafi,Al-Mutawakkil I,Al-Mu'tadid Billah II,El Sindh,
,,,,,,,,,,,,,,,,,,,,,,Arwa,Akeem,Umm Kulthum,Marwan,al-Hafiz,Asker,,,,,,,,,Sharjah,,,,,Marzouki,Al-Muntasir,Al-Mu'tamid,Wadi Rum,Almohad,Damavand,Damavand,Ibrahim,Hassan II,Uqba ibn Nafi,Al-Rashidun,Al-Hakim,Zoghbi,Buyid,Ibrahim al-Yaziji,Far,,,Fatimid,Mubarak,,,,Zoghbi,Al-Battani ,Moulouya,Al-Ani,Al-Muwaffaq,Al-Muntasir,Aziz,
,,,,,,,,,,,,,,,,,,,,,,Arzu,Aladdin,Umm Salameh,Mohammed,al-Hakim,Aswad,,,,,,,,,Amman,,,,,Aoun,Al-Mutawakkil III,Al-Mu'tadid Billah II,Wadi Mujib,Saffarid,Taurus,Taurus,Amr ibn al-Aas,Mohammed VI,Dhat al-Himma,Al-Mustakfi,Al-Burhan,Yaghi,Ghaznavid,Al-Qahir,Fakh,,,Saffarid,Al-Rashidi,,,,Yaghi,Al-Razi,Litani,El-Sisi,Al-Mansur,Al-Mutawakkil III,Farana,
,,,,,,,,,,,,,,,,,,,,,,Asma,Ali,Zaynab,Muawiya,al-Kamil,Atiyeh,,,,,,,,,Ras Bayrut,,,,,Al-Solh,Al-Mansur,Al-Mustanjid Billah,Zarqa,Mamluk,Al-Hajjar,Al-Hajjar,Zengid,Ben Ali,Maysun bint Bahdal,Al-Muqtadir Billah,Al-Azm,El-Baz,Seljuk,Mohammed Dib,Hirr,,,Almohad,Al-Turabi,,,,El-Baz,Ibn Haiyan,Euphrates,Aoun,Hisham,Al-Mansur,Serenity Sonbolah,
,,,,,,,,,,,,,,,,,,,,,,Ata,Alim,,Musa,al-Mamun,Attia,,,,,,,,,Sultanah,,,,,Bin Salman,Al-Mushtaq,Al-Qadir Billah,Seybouse,Tahirid,,,Ibrahim al-Yaziji,Marzouki,Abdullah ibn Masud,Abd al-Aziz,Al-Habashi,Atala,Ottoman,Malik ibn Nuwayrah,Qird,,,Tahirid,Al-Hadi,,,,Atala,Gamal,Khabur,Al-Hamdani,Al-Mutawakkil al-Mawsili,Al-Mushtaq,Alcazar,
,,,,,,,,,,,,,,,,,,,,,,Aya,Amer,,Said,al-Mahdi,Awad,,,,,,,,,Erbil,,,,,Al-Assad,Al-Mustanjid Billah,Al-Hadi,Chelif,,,,al-Saud,Essebsi,Anas ibn Malik,Al-Walid,Al-Rashid,El-Sayed,Ummayed,al-Saud,Qird al-bahr,,,,Al-Jubouri,,,,El-Sayed,Yaghi,Senegal,Al-Dulaimi,Al-Muktafi Billah,Al-Mustanjid Billah,Shammar,
,,,,,,,,,,,,,,,,,,,,,,Ayma,Amin,,Salah,al-Mansur,Ayad,,,,,,,,,Muscat,,,,,Abdullah,Al-Qadir,Hisham,Moulouya,,,,Abdelkader El Djezairi,Saied,Abdullah ibn Umar,Al-Mu'ayyad,Al-Kubaisy,Belkaid,,Abdelkader El Djezairi,Samak al-bahr,,,,Al-Azm,,,,Belkaid,Ibn Sina,Chelif,Al-Rubaie,Al-Musta'sim,Al-Qadir,Wahzan,
,,,,,,,,,,,,,,,,,,,,,,Azah,Amir,,Saqr,al-Masud Salah al-Din,Aziz,,,,,,,,,Zarqa,,,,,Al-Abadi,Al-Mutawakkil II,Al-Walid,Draa,,,,Farouk al-Sharaa,Aoun,Muadh ibn Jabal,Al-Mutawakkil II,Al-Qaddafi,Zaki Pasha,,Fatima,Tha‘lab,,,,Al-Mughrabi,,,,Zaki Pasha,Ibn Khaldun,Tigris,Al-Hassan,Al-Qadir Billah,Al-Mutawakkil II,Raseem,
,,,,,,,,,,,,,,,,,,,,,,Azeena,Amr,,Sulayman,al-Muazzam,Ba,,,,,,,,,Homs,,,,,al-Assad,Al-Mustakfi,Al-Mushtaq,Sous,,,,Abdullah al-Qasemi,Al Thani,Hassan al-Banna,Muawiyah I,Al-Jubouri,Barakat,,Dhat al-Himma,Tha‘lab abyad,,,,Essebsi,,,,Barakat,Zoghbi,Nile,Al-Burhan,Al-Muqtadir,Al-Mustakfi,Al-Marah Radames,
,,,,,,,,,,,,,,,,,,,,,,Azina,Anwar,,Sultan,al-Muizz,Baba,,,,,,,,,Dammam,,,,,Al-Amiri,Al-Nasir,Al-Mustadi Billah,Guir,,,,Tipu,Al-Sabah,Abdullah al-Qasemi,Al-Mustazhir Billah II,Al-Jaafari,Gamal,,Massoud,Basha,,,,Al-Qahtani,,,,Gamal,Said,Seybouse,Al-Rawi,Al-Mustazhir,Al-Nasir,Jadaan,
,,,,,,,,,,,,,,,,,,,,,,Bahati,Aqeel,,Umar,al-Mutadid,Badawi,,,,,,,,,As-Sulaymaniyah,,,,,Al-Rubaie,Al-Qa'im,Al-Qaim bi-Amr Allah,Senegal,,,,Saad Zaghloul,Al-Ahmad,Ibrahim al-Yaziji,Al-Muwaffaq al-Din Allah,Al-Haddad,Katabi,,Bairam Khan,Dhabyan,,,,Al-Sistani,,,,Katabi,Katabi,Jordan,Al-Quraishi,Al-Mustarshid Billah II,Al-Qa'im,Al-Marah Que Sera Sera,
,,,,,,,,,,,,,,,,,,,,,,Basma,Asad,,Uthman,al-Mutamid,Baghdadi,,,,,,,,,Al-Ahmadi,,,,,Al-Houthi,Al-Mutawakkil al-Jallab,Al-Mustazhir Billah,,,,,Ali ibn Husayn,Al-Khalid,Ismail al-Azhari,Ali ibn Abi Talib,Al-Mirghani,Said,,Al-Hadi,Zaranik,,,,Al-Habib,,,,Said,Barakat,,Al-Rashid,Al-Mutawakkil II,Al-Mutawakkil al-Jallab,Mansoura,
,,,,,,,,,,,,,,,,,,,,,,Bayan,Ashraf,,Yahya,al-Mutasim,Bahar,,,,,,,,,Al-Hudaydah,,,,,Al-Jubeir,Al-Ma'mun,Al-Muqtadir Billah,,,,,Hassan al-Banna,Al-Bashir,Abdelkader El Djezairi,Al-Mu'tadid,Al-Mansour,Al-Sabbah,,Al-Amin,Hayawanat al-sahara,,,,Al-Jubeir,,,,Al-Sabbah,Zewail,,Al-Turabi,Al-Qa'im,Al-Ma'mun,Gai-Adventure,
,,,,,,,,,,,,,,,,,,,,,,Bushra,Ayman,,Yazid,al-Mutazz,Bakir,,,,,,,,,Taiz,,,,,Al-Jubouri,Al-Mustanjid Billah IV,Al-Muntasir Billah,,,,,Malik Ambar,Al-Mirghani,Saad Zaghloul,Al-Mansur Billah,Al Nahyan,Amin,,Muhammad Naguib,Jidran,,,,Al-Mutlaq,,,,Amin,Ibn Zuhr,,Al-Mughrabi,Al-Mu'ayyad,Al-Mustanjid Billah IV,Tallaab Al-Kahal,
,,,,,,,,,,,,,,,,,,,,,,Cala,Aziz,,,al-Muhtadi,Basara,,,,,,,,,Abu Dhabi,,,,,Al-Burhan,Al-Mu'tadhir,Al-Mu'tazz,,,,,Assad,Al-Turabi,Faisal bin Abdulaziz Al Saud,Al-Qadir,Al-Jubeir,Hadid,,Uqba ibn Nafi,Katan,,,,Al-Shibli,,,,Hadid,Hadid,,Al-Sharif,Al-Mustanjid Billah,Al-Mu'tadhir,Al-Marah Lord Sheikh,
,,,,,,,,,,,,,,,,,,,,,,Dalal,Azmi,,,al-Muktafi,Bashar,,,,,,,,,Kirkuk,,,,,Al-Zubaidi,Al-Mu'tadid,Al-Muwaffaq al-Shirazi,,,,,Al-Amin,Al-Burhan,Muhammad Naguib,Al-Mustazhir,Al Thani,,,Zaid ibn Ali,Kharif,,,,Al-Hariri,,,,,,,Al-Kubaisi,Al-Mutadid Billah II,Al-Mu'tadid,DB Thee Vision,
,,,,,,,,,,,,,,,,,,,,,,Dalia,Badr,,,al-Muntasir,Baz,,,,,,,,,Aden,,,,,Al-Quraishi,Abd al-Aziz,Al-Mu'tasim Billah,,,,,Ghazi,Al-Karim Khalili,Ali ibn Husayn,Saladin,Al-Kazemi,,,Qutaybah ibn Muslim,Khinzir,,,,Al-Houthi,,,,,,,Al-Houthi,Al-Mustarshid,Abd al-Aziz,Saklawi Jadrane,
,,,,,,,,,,,,,,,,,,,,,,Dalila,Bahjat,,,al-Muqtadi,Bilal,,,,,,,,,Port Said,,,,,Sadat,Al-Mustarshid,Al-Mu'tazz Billah,,,,,Jinnah,Al-Banna,Abdulrahman al-Sudais,Al-Muqtafi Billah,Bin Salman,,,Abd al-Rahman ibn Awf,Labwa,,,,Al-Assad,,,,,,,Al Khalifa,Al-Muqallad,Al-Mustarshid,Ibn Galal V,
,,,,,,,,,,,,,,,,,,,,,,Dana,Bakri,,,al-Muqtadir,Bishara,,,,,,,,,Taif,,,,,Al-Sabah,Al-Mu'tamid Billah,Al-Nasir,,,,,Hala Sultan,Al-Hariri,Hala Sultan,Al-Mutawakkil al-Jallab,Al-Shishani,,,Ali ibn Husayn,Labwa abyad,,,,Al-Sisi,,,,,,,Al-Bakr,Al-Mu'tamid bin Abbad,Al-Mu'tamid Billah,Al-Marah Canadius,
,,,,,,,,,,,,,,,,,,,,,,Dania,Bashir,,,al-Muqtafi,Bitar,,,,,,,,,Ajman City,,,,,Al Saud,Al-Muqallad,Al-Mutawakkil al-Mawsili,,,,,Al-Hadi,Al-Solh,Farouk al-Sharaa,Al-Mustadi,Al-Shibli,,,al-Mansur,Masur,,,,Talal,,,,,,,Al-Solh,Al-Nasir al-Dawla,Al-Muqallad,Amber Satin,
,,,,,,,,,,,,,,,,,,,,,,Dareen,Bilal,,,al-Mustain,Botros,,,,,,,,,Suez,,,,,Al Thani,Al-Mu'tazz,Saladin,,,,,al-Mansur,Al-Kazemi,Mohammed Dib,Al-Mustarshid Billah II,Al-Kubaisi,,,Abbas,Nims,,,,Al-Sabri,,,,,,,Al-Kubaisy,Al-Nasir al-Haqq,Al-Mu'tazz,Sir Wm. Robert,
,,,,,,,,,,,,,,,,,,,,,,Dina,Burhan,,,al-Mustali,Boulos,,,,,,,,,Najaf,,,,,Farouk,Al-Muwaffaq,Al-Mustanjid,,,,,Abd al-Rahman ibn Awf,Al-Maliki,Nizar Qabbani,Al-Muqtadir,Al-Malik,,,Abdullah ibn Umar,Nimr al-bara,,,,Al-Tamimi,,,,,,,Al-Sharif,Al-Mu'tamid Abu'l-Abbas,Al-Muwaffaq,Saida Al-Salam,
,,,,,,,,,,,,,,,,,,,,,,Duaa,Dawoud,,,al-Mustasim,Boutros,,,,,,,,,Hamah,,,,,El-Sisi,Al-Muqtadir Billah,Al-Mutawakkil,,,,,Al-Radi,Al-Abadi,Mamluk,Al-Mustarshid,Talal,,,Mamluk,Qaus,,,,Al-Ani,,,,,,,Marzouki,Al-Ma'mun,Al-Muqtadir Billah,Bint Ameera,
,,,,,,,,,,,,,,,,,,,,,,Dusya,Deen,,,al-Mustadi,Burhan,,,,,,,,,Tabuk,,,,,Al-Zarqawi,Al-Qaim bi-Amr Allah,Abd al-Aziz,,,,,Anas ibn Malik,Al-Jaafari,Assad,Al-Mu'tamid bin Abbad,Al-Karim Khalili,,,Malik Ambar,Qird al-jabal,,,,Nasser,,,,,,,Al-Malik,Al-Muzaffar,Al-Qaim bi-Amr Allah,Simeon Sharav,
,,,,,,,,,,,,,,,,,,,,,,Eira,Ehsan,,,al-Mustakfi,Cham,,,,,,,,,Karbala,,,,,Al-Qadri,Al-Rashidun,Al-Musta'sim,,,,,Muadh ibn Jabal,Al-Hakim,Zengid,Al-Mansur,Al-Majid,,,Abdullah al-Qasemi,Qit al-hayawan,,,,Al-Banna,,,,,,,Al-Kazemi,Al-Saffah,Al-Rashidun,Al-Sabah Ibn Moniet,
,,,,,,,,,,,,,,,,,,,,,,Elizha,Fadel,,,al-Mustanjid,Dagher,,,,,,,,,Al-Mahallah al Kubra,,,,,Al-Bahar,Al-Mustazhir Billah II,Al-Nasir al-Dawla,,,,,al-Mahdi,Al-Sistani,Fatima,Al-Zahir,Al-Habib,,,Muadh ibn Jabal,Ruba,,,,Al-Mahdi,,,,,,,Al Saud,Abu Bakr,Al-Mustazhir Billah II,RA Hot Every Nite,
,,,,,,,,,,,,,,,,,,,,,,Eshma,Fadir,,,al-Mustansir,Daher,,,,,,,,,East Jerusalem,,,,,Mubarak,Al-Musta'sim,Al-Mahdi,,,,,Muhammad Naguib,Al-Amiri,Zaid ibn Ali,Al-Musta'in Billah II,Al Khalifa,,,Hassan al-Banna,Samur,,,,Al-Malik,,,,,,,Sadat,Al-Nasir,Al-Musta'sim,Shaikh Al Badi,
,,,,,,,,,,,,,,,,,,,,,,Fairouz,Faheem,,,al-Mustansir,Darwish,,,,,,,,,Al-Kharj,,,,,Talal,Al-Mustadi,Al-Mutawakkil II,,,,,Al-Wathiq,Al-Mahdi,al-Saud,Al-Muwaffaq,Al-Jumaili,,,Zengid,Sanam,,,,Al-Bashir,,,,,,,Al-Banna,Al-Mu'tamid,Al-Mustadi,Deseo,
,,,,,,,,,,,,,,,,,,,,,,Fana,Faisal,,,al-Mustarshid,Dawoud,,,,,,,,,Luxor,,,,,Al-Sharif,Al-Walid,Al-Mustanjid Billah IV,,,,,Malik ibn Nuwayrah,Al-Sadr,Ghazi,Al-Mustanjid Billah IV,Al-Amiri,,,Farouk al-Sharaa,Sanaubar,,,,Al-Qaddafi,,,,,,,Al-Habashi,Al-Muqtadir Billah,Al-Walid,Bint Gulida,
,,,,,,,,,,,,,,,,,,,,,,Farah,Faiz,,,al-Mustazhir,Deeb,,,,,,,,,Asyut,,,,,Al-Mutlaq,Al-Muntasir Billah,Al-Musta'in,,,,,Uqba ibn Nafi,Al-Houthi,Ibrahim,Al-Nasir li-Din Allah,Farouk,,,Saad Zaghloul,Shu’ur,,,,Al-Hamdani,,,,,,,Al-Mahdi,Al-Musta'in Billah II,Al-Muntasir Billah,Rayyan Al Khalediah,
,,,,,,,,,,,,,,,,,,,,,,Farida,Farid,,,al-Mutawakkil,Ebeid,,,,,,,,,Al-Mansurah,,,,,Al-Jumaili,Uthman ibn Affan,Al-Rashidun,,,,,Ismail al-Azhari,Al-Sabri,al-Mansur,Hisham,Al-Ani,,,Amr ibn al-Aas,Timsah,,,,Al Thani,,,,,,,Al-Mirghani,Al-Mu'tamid Billah,Uthman ibn Affan,Hamasa Ibn Saker,
,,,,,,,,,,,,,,,,,,,,,,Fasha,Fayez,,,al-Muti,Essa,,,,,,,,,Gaza,,,,,Al-Karim Khalili,Al-Mustarshid Billah II,Al-Mu'tadid,,,,,Dhat al-Himma,Al-Zubaidi,al-Mahdi,Al-Muntasir Billah,Sadat,,,Faisal bin Abdulaziz Al Saud,Wahsh,,,,Al-Jaafari,,,,,,,Al-Qahtani,Al-Mu'tadid,Al-Mustarshid Billah II,Aarouss El Nil,
,,,,,,,,,,,,,,,,,,,,,,Fatima,Fazli,,,al-Muttaqi,Fadel,,,,,,,,,Tanta,,,,,Al-Maliki,Al-Musta'in Billah III,Al-Qadir,,,,,Al-Munastir,Al-Mahjoub,Al-Hadi,Al-Muzaffar,Al-Zubaidi,,,Tipu,Wahsh al-bar,,,,Al-Zubaidi,,,,,,,Al Thani,Al-Muwaffaq al-Shirazi,Al-Musta'in Billah III,Omdah Al Khalidiyah,
,,,,,,,,,,,,,,,,,,,,,,Fenal,Fikri,,,al-Muzaffar Sulayman,Faez,,,,,,,,,Nasiriyah,,,,,Al-Kassim,Al-Muwaffaq al-Din Allah,Al-Nasir Muhammad,,,,,Massoud,Al-Sharif,Al-Rashid,Abu Bakr,Al-Assad,,,Niazi,Yarbu’,,,,Al-Burhan,,,,,,,Al-Khalid,Al-Mahdi,Al-Muwaffaq al-Din Allah,Al Rayyan,
,,,,,,,,,,,,,,,,,,,,,,Fiza,Ghassan,,,al-Nasir,Faheem,,,,,,,,,Buraydah,,,,,Al-Shishani,Al-Muqtafi Billah II,Al-Muktafi Billah,,,,,Murad,Al-Bakr,Al-Amin,Al-Musta'in Billah,Al-Samarrai,,,Ismail al-Azhari,Zabad,,,,Al Saud,,,,,,,Gaddafi,Al-Muqtafi Billah II,Al-Muqtafi Billah II,El Din,
,,,,,,,,,,,,,,,,,,,,,,Gamila,Ghiath,,,al-Nasir Ayyub,Faizan,,,,,,,,,Khamis Mushait,,,,,Al-Hadi,Al-Mu'ayyad,Abd al-Malik ibn Marwan,,,,,Mamluk,Al-Jubouri,Al-Wathiq,Al-Mustazhir Billah,Al-Mashhadani,,,Hala Sultan,Zaghidah,,,,Al-Hamid,,,,,,,Al-Jumaili,Abd al-Aziz,Al-Mu'ayyad,Zaraq,
,,,,,,,,,,,,,,,,,,,,,,Habiba,Habib,,,al-Nasir Salah al-Din Daud,Fakhoury,,,,,,,,,Ras Al-Khaimah City,,,,,Al-Azm,Al-Mustadi Billah,Al-Mutawakkil I,,,,,Al-Qahir,Al-Allawi,Al-Munastir,Al-Ma'mun,Al-Hadi,,,al-Mahdi,Zalabiyah,,,,Al-Abadi,,,,,,,Al-Zubaidi,Al-Mustadi Billah,Al-Mustadi Billah,Dhaawy,
