namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Amina,Ahmed,Sawdah,Issa,al-Faiz,Arian,,,,,,,,,Mosul,,,,,Al-Farhan,Al-Muwaffaq al-Shirazi,Al-Nasir al-Haqq,Khabur,Almoravid,Ararat,Abbas,Talal,Abd al-Rahman ibn Awf,Al-Nasir Muhammad,Ibn Khaldun,Samanid,Jinnah,Namir,,,Seljuk,,,,Ibn Khaldun,Shatt al-Arab,Al-Zarqawi,Al-Muwaffaq al-Shirazi,Marbat,
,,,,,,,,,,,,,,,,,,,,,,Amira,Ahsan,Umm al-Masakin,Khalid,al-Fadl,Asfour,,,,,,,,,Aleppo,,,,,Al-Qahtani,Al-Qadir Billah,Al-Mustazhir Billah II,Karun,Rashidun,Hermon,Fatima,Abdullah,Qutaybah ibn Muslim,Al-Musta'sim,Al-Baitar,Tahirid,Al-Rashid,Asad,,,Ottoman,,,,Al-Baitar,Orontes,Al-Kassim,Al-Qadir Billah,Desert Orchid,
,,,,,,,,,,,,,,,,,,,,,,Ansa,Ajmal,Umm Habibah,Khalid,al-Hadi,Asghar,,,,,,,,,Damascus,,,,,Al-Faisal,Al-Mu'tadid Billah II,Ali ibn Abi Talib,Shatt al-Arab,Idrisid,Lebanon,Al-Rashid,al-Assad,Malik ibn Nuwayrah,Al-Mutadid Billah,Zewail,Saffarid,Assad,Nimr,,,Samanid,,,,Zewail,Al-Mukhaizna,Al-Qaddafi,Al-Mu'tadid Billah II,El Sindh,
,,,,,,,,,,,,,,,,,,,,,,Arwa,Akeem,Umm Kulthum,Marwan,al-Hafiz,Asker,,,,,,,,,Sharjah,,,,,Marzouki,Al-Muntasir,Al-Mu'tamid,Wadi Rum,Almohad,Damavand,Ibrahim,Hassan II,Uqba ibn Nafi,Al-Rashidun,Zoghbi,Buyid,Ibrahim al-Yaziji,Far,,,Fatimid,,,,Zoghbi,Moulouya,Al-Ani,Al-Muntasir,Aziz,
,,,,,,,,,,,,,,,,,,,,,,Arzu,Aladdin,Umm Salameh,Mohammed,al-Hakim,Aswad,,,,,,,,,Amman,,,,,Aoun,Al-Mutawakkil III,Al-Mu'tadid Billah II,Wadi Mujib,Saffarid,Taurus,Amr ibn al-Aas,Mohammed VI,Dhat al-Himma,Al-Mustakfi,Yaghi,Ghaznavid,Al-Qahir,Fakh,,,Saffarid,,,,Yaghi,Litani,El-Sisi,Al-Mutawakkil III,Farana,
,,,,,,,,,,,,,,,,,,,,,,Asma,Ali,Zaynab,Muawiya,al-Kamil,Atiyeh,,,,,,,,,Ras Bayrut,,,,,Al-Solh,Al-Mansur,Al-Mustanjid Billah,Zarqa,Mamluk,Al-Hajjar,Zengid,Ben Ali,Maysun bint Bahdal,Al-Muqtadir Billah,El-Baz,Seljuk,Mohammed Dib,Hirr,,,Almohad,,,,El-Baz,Euphrates,Aoun,Al-Mansur,Serenity Sonbolah,
,,,,,,,,,,,,,,,,,,,,,,Ata,Alim,,Musa,al-Mamun,Attia,,,,,,,,,Sultanah,,,,,Bin Salman,Al-Mushtaq,Al-Qadir Billah,Seybouse,Tahirid,,Ibrahim al-Yaziji,Marzouki,Abdullah ibn Masud,Abd al-Aziz,Atala,Ottoman,Malik ibn Nuwayrah,Qird,,,Tahirid,,,,Atala,Khabur,Al-Hamdani,Al-Mushtaq,Alcazar,
,,,,,,,,,,,,,,,,,,,,,,Aya,Amer,,Said,al-Mahdi,Awad,,,,,,,,,Erbil,,,,,Al-Assad,Al-Mustanjid Billah,Al-Hadi,Chelif,,,al-Saud,Essebsi,Anas ibn Malik,Al-Walid,El-Sayed,Ummayed,al-Saud,Qird al-bahr,,,,,,,El-Sayed,Senegal,Al-Dulaimi,Al-Mustanjid Billah,Shammar,
,,,,,,,,,,,,,,,,,,,,,,Ayma,Amin,,Salah,al-Mansur,Ayad,,,,,,,,,Muscat,,,,,Abdullah,Al-Qadir,Hisham,Moulouya,,,Abdelkader El Djezairi,Saied,Abdullah ibn Umar,Al-Mu'ayyad,Belkaid,,Abdelkader El Djezairi,Samak al-bahr,,,,,,,Belkaid,Chelif,Al-Rubaie,Al-Qadir,Wahzan,
,,,,,,,,,,,,,,,,,,,,,,Azah,Amir,,Saqr,al-Masud Salah al-Din,Aziz,,,,,,,,,Zarqa,,,,,Al-Abadi,Al-Mutawakkil II,Al-Walid,Draa,,,Farouk al-Sharaa,Aoun,Muadh ibn Jabal,Al-Mutawakkil II,Zaki Pasha,,Fatima,Tha‘lab,,,,,,,Zaki Pasha,Tigris,Al-Hassan,Al-Mutawakkil II,Raseem,
,,,,,,,,,,,,,,,,,,,,,,Azeena,Amr,,Sulayman,al-Muazzam,Ba,,,,,,,,,Homs,,,,,al-Assad,Al-Mustakfi,Al-Mushtaq,Sous,,,Abdullah al-Qasemi,Al Thani,Hassan al-Banna,Muawiyah I,Barakat,,Dhat al-Himma,Tha‘lab abyad,,,,,,,Barakat,Nile,Al-Burhan,Al-Mustakfi,Al-Marah Radames,
,,,,,,,,,,,,,,,,,,,,,,Azina,Anwar,,Sultan,al-Muizz,Baba,,,,,,,,,Dammam,,,,,Al-Amiri,Al-Nasir,Al-Mustadi Billah,Guir,,,Tipu,Al-Sabah,Abdullah al-Qasemi,Al-Mustazhir Billah II,Gamal,,Massoud,Basha,,,,,,,Gamal,Seybouse,Al-Rawi,Al-Nasir,Jadaan,
,,,,,,,,,,,,,,,,,,,,,,Bahati,Aqeel,,Umar,al-Mutadid,Badawi,,,,,,,,,As-Sulaymaniyah,,,,,Al-Rubaie,Al-Qa'im,Al-Qaim bi-Amr Allah,Senegal,,,Saad Zaghloul,Al-Ahmad,Ibrahim al-Yaziji,Al-Muwaffaq al-Din Allah,Katabi,,Bairam Khan,Dhabyan,,,,,,,Katabi,Jordan,Al-Quraishi,Al-Qa'im,Al-Marah Que Sera Sera,
,,,,,,,,,,,,,,,,,,,,,,Basma,Asad,,Uthman,al-Mutamid,Baghdadi,,,,,,,,,Al-Ahmadi,,,,,Al-Houthi,Al-Mutawakkil al-Jallab,Al-Mustazhir Billah,,,,Ali ibn Husayn,Al-Khalid,Ismail al-Azhari,Ali ibn Abi Talib,Said,,Al-Hadi,Zaranik,,,,,,,Said,,Al-Rashid,Al-Mutawakkil al-Jallab,Mansoura,
,,,,,,,,,,,,,,,,,,,,,,Bayan,Ashraf,,Yahya,al-Mutasim,Bahar,,,,,,,,,Al-Hudaydah,,,,,Al-Jubeir,Al-Ma'mun,Al-Muqtadir Billah,,,,Hassan al-Banna,Al-Bashir,Abdelkader El Djezairi,Al-Mu'tadid,Al-Sabbah,,Al-Amin,Hayawanat al-sahara,,,,,,,Al-Sabbah,,Al-Turabi,Al-Ma'mun,Gai-Adventure,
,,,,,,,,,,,,,,,,,,,,,,Bushra,Ayman,,Yazid,al-Mutazz,Bakir,,,,,,,,,Taiz,,,,,Al-Jubouri,Al-Mustanjid Billah IV,Al-Muntasir Billah,,,,Malik Ambar,Al-Mirghani,Saad Zaghloul,Al-Mansur Billah,Amin,,Muhammad Naguib,Jidran,,,,,,,Amin,,Al-Mughrabi,Al-Mustanjid Billah IV,Tallaab Al-Kahal,
,,,,,,,,,,,,,,,,,,,,,,Cala,Aziz,,,al-Muhtadi,Basara,,,,,,,,,Abu Dhabi,,,,,Al-Burhan,Al-Mu'tadhir,Al-Mu'tazz,,,,Assad,Al-Turabi,Faisal bin Abdulaziz Al Saud,Al-Qadir,Hadid,,Uqba ibn Nafi,Katan,,,,,,,Hadid,,Al-Sharif,Al-Mu'tadhir,Al-Marah Lord Sheikh,
,,,,,,,,,,,,,,,,,,,,,,Dalal,Azmi,,,al-Muktafi,Bashar,,,,,,,,,Kirkuk,,,,,Al-Zubaidi,Al-Mu'tadid,Al-Muwaffaq al-Shirazi,,,,Al-Amin,Al-Burhan,Muhammad Naguib,Al-Mustazhir,,,Zaid ibn Ali,Kharif,,,,,,,,,Al-Kubaisi,Al-Mu'tadid,DB Thee Vision,
,,,,,,,,,,,,,,,,,,,,,,Dalia,Badr,,,al-Muntasir,Baz,,,,,,,,,Aden,,,,,Al-Quraishi,Abd al-Aziz,Al-Mu'tasim Billah,,,,Ghazi,Al-Karim Khalili,Ali ibn Husayn,Saladin,,,Qutaybah ibn Muslim,Khinzir,,,,,,,,,Al-Houthi,Abd al-Aziz,Saklawi Jadrane,
,,,,,,,,,,,,,,,,,,,,,,Dalila,Bahjat,,,al-Muqtadi,Bilal,,,,,,,,,Port Said,,,,,Sadat,Al-Mustarshid,Al-Mu'tazz Billah,,,,Jinnah,Al-Banna,Abdulrahman al-Sudais,Al-Muqtafi Billah,,,Abd al-Rahman ibn Awf,Labwa,,,,,,,,,Al Khalifa,Al-Mustarshid,Ibn Galal V,
,,,,,,,,,,,,,,,,,,,,,,Dana,Bakri,,,al-Muqtadir,Bishara,,,,,,,,,Taif,,,,,Al-Sabah,Al-Mu'tamid Billah,Al-Nasir,,,,Hala Sultan,Al-Hariri,Hala Sultan,Al-Mutawakkil al-Jallab,,,Ali ibn Husayn,Labwa abyad,,,,,,,,,Al-Bakr,Al-Mu'tamid Billah,Al-Marah Canadius,
,,,,,,,,,,,,,,,,,,,,,,Dania,Bashir,,,al-Muqtafi,Bitar,,,,,,,,,Ajman City,,,,,Al Saud,Al-Muqallad,Al-Mutawakkil al-Mawsili,,,,Al-Hadi,Al-Solh,Farouk al-Sharaa,Al-Mustadi,,,al-Mansur,Masur,,,,,,,,,Al-Solh,Al-Muqallad,Amber Satin,
,,,,,,,,,,,,,,,,,,,,,,Dareen,Bilal,,,al-Mustain,Botros,,,,,,,,,Suez,,,,,Al Thani,Al-Mu'tazz,Saladin,,,,al-Mansur,Al-Kazemi,Mohammed Dib,Al-Mustarshid Billah II,,,Abbas,Nims,,,,,,,,,Al-Kubaisy,Al-Mu'tazz,Sir Wm. Robert,
,,,,,,,,,,,,,,,,,,,,,,Dina,Burhan,,,al-Mustali,Boulos,,,,,,,,,Najaf,,,,,Farouk,Al-Muwaffaq,Al-Mustanjid,,,,Abd al-Rahman ibn Awf,Al-Maliki,Nizar Qabbani,Al-Muqtadir,,,Abdullah ibn Umar,Nimr al-bara,,,,,,,,,Al-Sharif,Al-Muwaffaq,Saida Al-Salam,
,,,,,,,,,,,,,,,,,,,,,,Duaa,Dawoud,,,al-Mustasim,Boutros,,,,,,,,,Hamah,,,,,El-Sisi,Al-Muqtadir Billah,Al-Mutawakkil,,,,Al-Radi,Al-Abadi,Mamluk,Al-Mustarshid,,,Mamluk,Qaus,,,,,,,,,Marzouki,Al-Muqtadir Billah,Bint Ameera,
,,,,,,,,,,,,,,,,,,,,,,Dusya,Deen,,,al-Mustadi,Burhan,,,,,,,,,Tabuk,,,,,Al-Zarqawi,Al-Qaim bi-Amr Allah,Abd al-Aziz,,,,Anas ibn Malik,Al-Jaafari,Assad,Al-Mu'tamid bin Abbad,,,Malik Ambar,Qird al-jabal,,,,,,,,,Al-Malik,Al-Qaim bi-Amr Allah,Simeon Sharav,
,,,,,,,,,,,,,,,,,,,,,,Eira,Ehsan,,,al-Mustakfi,Cham,,,,,,,,,Karbala,,,,,Al-Qadri,Al-Rashidun,Al-Musta'sim,,,,Muadh ibn Jabal,Al-Hakim,Zengid,Al-Mansur,,,Abdullah al-Qasemi,Qit al-hayawan,,,,,,,,,Al-Kazemi,Al-Rashidun,Al-Sabah Ibn Moniet,
,,,,,,,,,,,,,,,,,,,,,,Elizha,Fadel,,,al-Mustanjid,Dagher,,,,,,,,,Al-Mahallah al Kubra,,,,,Al-Bahar,Al-Mustazhir Billah II,Al-Nasir al-Dawla,,,,al-Mahdi,Al-Sistani,Fatima,Al-Zahir,,,Muadh ibn Jabal,Ruba,,,,,,,,,Al Saud,Al-Mustazhir Billah II,RA Hot Every Nite,
,,,,,,,,,,,,,,,,,,,,,,Eshma,Fadir,,,al-Mustansir,Daher,,,,,,,,,East Jerusalem,,,,,Mubarak,Al-Musta'sim,Al-Mahdi,,,,Muhammad Naguib,Al-Amiri,Zaid ibn Ali,Al-Musta'in Billah II,,,Hassan al-Banna,Samur,,,,,,,,,Sadat,Al-Musta'sim,Shaikh Al Badi,
,,,,,,,,,,,,,,,,,,,,,,Fairouz,Faheem,,,al-Mustansir,Darwish,,,,,,,,,Al-Kharj,,,,,Talal,Al-Mustadi,Al-Mutawakkil II,,,,Al-Wathiq,Al-Mahdi,al-Saud,Al-Muwaffaq,,,Zengid,Sanam,,,,,,,,,Al-Banna,Al-Mustadi,Deseo,
,,,,,,,,,,,,,,,,,,,,,,Fana,Faisal,,,al-Mustarshid,Dawoud,,,,,,,,,Luxor,,,,,Al-Sharif,Al-Walid,Al-Mustanjid Billah IV,,,,Malik ibn Nuwayrah,Al-Sadr,Ghazi,Al-Mustanjid Billah IV,,,Farouk al-Sharaa,Sanaubar,,,,,,,,,Al-Habashi,Al-Walid,Bint Gulida,
,,,,,,,,,,,,,,,,,,,,,,Farah,Faiz,,,al-Mustazhir,Deeb,,,,,,,,,Asyut,,,,,Al-Mutlaq,Al-Muntasir Billah,Al-Musta'in,,,,Uqba ibn Nafi,Al-Houthi,Ibrahim,Al-Nasir li-Din Allah,,,Saad Zaghloul,Shu’ur,,,,,,,,,Al-Mahdi,Al-Muntasir Billah,Rayyan Al Khalediah,
,,,,,,,,,,,,,,,,,,,,,,Farida,Farid,,,al-Mutawakkil,Ebeid,,,,,,,,,Al-Mansurah,,,,,Al-Jumaili,Uthman ibn Affan,Al-Rashidun,,,,Ismail al-Azhari,Al-Sabri,al-Mansur,Hisham,,,Amr ibn al-Aas,Timsah,,,,,,,,,Al-Mirghani,Uthman ibn Affan,Hamasa Ibn Saker,
,,,,,,,,,,,,,,,,,,,,,,Fasha,Fayez,,,al-Muti,Essa,,,,,,,,,Gaza,,,,,Al-Karim Khalili,Al-Mustarshid Billah II,Al-Mu'tadid,,,,Dhat al-Himma,Al-Zubaidi,al-Mahdi,Al-Muntasir Billah,,,Faisal bin Abdulaziz Al Saud,Wahsh,,,,,,,,,Al-Qahtani,Al-Mustarshid Billah II,Aarouss El Nil,
,,,,,,,,,,,,,,,,,,,,,,Fatima,Fazli,,,al-Muttaqi,Fadel,,,,,,,,,Tanta,,,,,Al-Maliki,Al-Musta'in Billah III,Al-Qadir,,,,Al-Munastir,Al-Mahjoub,Al-Hadi,Al-Muzaffar,,,Tipu,Wahsh al-bar,,,,,,,,,Al Thani,Al-Musta'in Billah III,Omdah Al Khalidiyah,
,,,,,,,,,,,,,,,,,,,,,,Fenal,Fikri,,,al-Muzaffar Sulayman,Faez,,,,,,,,,Nasiriyah,,,,,Al-Kassim,Al-Muwaffaq al-Din Allah,Al-Nasir Muhammad,,,,Massoud,Al-Sharif,Al-Rashid,Abu Bakr,,,Niazi,Yarbu’,,,,,,,,,Al-Khalid,Al-Muwaffaq al-Din Allah,Al Rayyan,
,,,,,,,,,,,,,,,,,,,,,,Fiza,Ghassan,,,al-Nasir,Faheem,,,,,,,,,Buraydah,,,,,Al-Shishani,Al-Muqtafi Billah II,Al-Muktafi Billah,,,,Murad,Al-Bakr,Al-Amin,Al-Musta'in Billah,,,Ismail al-Azhari,Zabad,,,,,,,,,Gaddafi,Al-Muqtafi Billah II,El Din,
,,,,,,,,,,,,,,,,,,,,,,Gamila,Ghiath,,,al-Nasir Ayyub,Faizan,,,,,,,,,Khamis Mushait,,,,,Al-Hadi,Al-Mu'ayyad,Abd al-Malik ibn Marwan,,,,Mamluk,Al-Jubouri,Al-Wathiq,Al-Mustazhir Billah,,,Hala Sultan,Zaghidah,,,,,,,,,Al-Jumaili,Al-Mu'ayyad,Zaraq,
,,,,,,,,,,,,,,,,,,,,,,Habiba,Habib,,,al-Nasir Salah al-Din Daud,Fakhoury,,,,,,,,,Ras Al-Khaimah City,,,,,Al-Azm,Al-Mustadi Billah,Al-Mutawakkil I,,,,Al-Qahir,Al-Allawi,Al-Munastir,Al-Ma'mun,,,al-Mahdi,Zalabiyah,,,,,,,,,Al-Zubaidi,Al-Mustadi Billah,Dhaawy,
,,,,,,,,,,,,,,,,,,,,,,Hala,Hadi,,,al-Nasir Salah al-Din II,Farhat,,,,,,,,,Doha,,,,,Al-Mirghani,Al-Musta'in Billah,Al-Mustanjid Billah III,,,,Faisal bin Abdulaziz Al Saud,Al-Tamimi,Al-Qahir,Al-Musta'in Billah III,,,Abdulrahman al-Sudais,Zarnab,,,,,,,,,Hassan II,Al-Musta'in Billah,El Zahraa,
,,,,,,,,,,,,,,,,,,,,,,Halima,Hafeez,,,al-Qaim,Farouq,,,,,,,,,Latakia,,,,,Al-Shammari,Ali ibn Abi Talib,Al-Musta'in Billah II,,,,Abdullah ibn Masud,Al-Zarqawi,Al-Radi,Al-Mustansir,,,Murad,Zirafah,,,,,,,,,Al Nahyan,Ali ibn Abi Talib,Dahmah Shahwan,
,,,,,,,,,,,,,,,,,,,,,,Hanifa,Hakim,,,al-Qaim,Farsi,,,,,,,,,Al-Amarah,,,,,Al-Mansouri,Al-Mansur Billah,Al-Muktafi,,,,,Al-Jubeir,,Al-Mutawakkil,,,,Zib al-layl,,,,,,,,,Al-Masri,Al-Mansur Billah,Kaisoon,
,,,,,,,,,,,,,,,,,,,,,,Hawa,Halim,,,al-Qaim,Fasih,,,,,,,,,Ad Diwaniyah,,,,,Al-Turabi,Saladin,Al-Ma'mun,,,,,Al-Rashid,,Al-Mushtaq,,,,Asfur,,,,,,,,,Al-Mutlaq,Saladin,Abu Farwa,
,,,,,,,,,,,,,,,,,,,,,,Heba,Hamza,,,al-Qadir,Fasil,,,,,,,,,Al-Kut,,,,,Al-Sistani,Al-Muqtafi Billah,Al-Mustansir,,,,,Al-Rashidi,,Al-Mustanjid,,,,Baru,,,,,,,,,Al-Bashir,Al-Muqtafi Billah,Om El Arab,
,,,,,,,,,,,,,,,,,,,,,,Heela,Hani,,,al-Qahir,Fayed,,,,,,,,,Irbid,,,,,Mohammed VI,Al-Muqtafi,Al-Mu'tamid bin Abbad,,,,,Al-Muqrin,,Al-Malik al-Nasir,,,,Dhi‘b,,,,,,,,,Al-Habib,Al-Muqtafi,Ansata Selman,
,,,,,,,,,,,,,,,,,,,,,,Here,Harun,,,al-Radi,Gaddafi,,,,,,,,,Al-Fayyum,,,,,Al-Hamid,Al-Mustanjid Billah III,Al-Malik al-Nasir,,,,,Al-Shehri,,Al-Qa'im,,,,Fara,,,,,,,,,Al-Assad,Al-Mustanjid Billah III,Hadban Enzahi,
,,,,,,,,,,,,,,,,,,,,,,Hiba,Hashem,,,al-Rashid,Ganem,,,,,,,,,Al-Hufuf,,,,,Al-Kubaisi,Al-Mustanjid,Al-Mu'ayyad,,,,,Al-Faisal,,Uthman ibn Affan,,,,Fara’ ayn,,,,,,,,,Al-Haddad,Al-Mustanjid,Ferzon,
,,,,,,,,,,,,,,,,,,,,,,Hisana,Hassan,,,al-Saffah,Ganim,,,,,,,,,Al-Mubarraz,,,,,Al-Rashid,Al-Mu'tamid bin Abbad,Al-Muwaffaq,,,,,Al-Kassim,,Al-Muwaffaq al-Shirazi,,,,Ghurab,,,,,,,,,Al-Jubeir,Al-Mu'tamid bin Abbad,Al-Marah Horatio,
,,,,,,,,,,,,,,,,,,,,,,Hiza,Hatem,,,al-Salih Ayyub,Gerges,,,,,,,,,Al-Hillah,,,,,Nasser,Al-Muktafi,Al-Mutawakkil al-Jallab,,,,,Al-Qahtani,,Al-Hadi,,,,Hama’,,,,,,,,,Al-Jaafari,Al-Muktafi,Ghazal Al Shaqab,
,,,,,,,,,,,,,,,,,,,,,,Hosneara,Haydar,,,al-Tai,Ghannam,,,,,,,,,Zagazig,,,,,Essebsi,Al-Muqtadir,Al-Mustadi,,,,,Al-Majid,,Al-Muqallad,,,,Hayyat,,,,,,,,,Al-Azm,Al-Muqtadir,Farouk,
